Definition: ,Percentage of women with a live birth in the two years preceding the survey who received antenatal care for the most recent birth with blood sample taken,,,,,,
Denominator,Women who had a live birth in the two (or three/five) years preceding the survey and recived ANC,,,,,,
,,,,,,,
Average:,0.95367369,,National Weighted Average,,,Statcompiler,95.9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthsw,bloodsample,,,,,
1,4,3,0.75,,,,
2,4,4,1,,,,
3,4,6,1.5,,,,
4,0,2,.,,,,
5,2,2,1,,,,
6,4,3,0.75,,,,
7,3,2,0.666666667,,,,
8,4,4,1,,,,
9,4,3,0.75,,,,
10,4,6,1.5,,,,
11,4,5,1.25,,,,
12,4,1,0.25,,,,
13,2,1,0.5,,,,
14,0,2,.,,,,
15,2,2,1,,,,
16,2,2,1,,,,
17,8,3,0.375,,,,
18,12,7,0.583333333,,,,
19,0,3,.,,,,
20,2,3,1.5,,,,
21,4,3,0.75,,,,
22,5,3,0.6,,,,
23,3,3,1,,,,
24,6,7,1.166666667,,,,
25,3,5,1.666666667,,,,
26,2,3,1.5,,,,
27,5,4,0.8,,,,
28,3,2,0.666666667,,,,
29,7,4,0.571428571,,,,
30,4,3,0.75,,,,
31,2,1,0.5,,,,
32,5,4,0.8,,,,
33,3,4,1.333333333,,,,
34,0,0,.,,,,
35,2,3,1.5,,,,
36,5,5,1,,,,
37,1,3,3,,,,
38,2,3,1.5,,,,
39,0,0,.,,,,
40,8,7,0.875,,,,
41,7,4,0.571428571,,,,
42,4,6,1.5,,,,
43,4,5,1.25,,,,
44,7,3,0.428571429,,,,
45,3,5,1.666666667,,,,
46,5,2,0.4,,,,
47,1,3,3,,,,
48,7,6,0.857142857,,,,
49,3,1,0.333333333,,,,
50,4,6,1.5,,,,
51,3,2,0.666666667,,,,
52,12,9,0.75,,,,
53,1,2,2,,,,
54,1,1,1,,,,
55,3,1,0.333333333,,,,
56,1,4,4,,,,
57,3,1,0.333333333,,,,
58,2,2,1,,,,
59,3,2,0.666666667,,,,
60,1,1,1,,,,
61,7,5,0.714285714,,,,
62,1,2,2,,,,
63,5,4,0.8,,,,
64,6,4,0.666666667,,,,
65,3,5,1.666666667,,,,
66,7,4,0.571428571,,,,
67,2,3,1.5,,,,
68,1,1,1,,,,
69,4,4,1,,,,
70,2,3,1.5,,,,
71,3,2,0.666666667,,,,
72,3,4,1.333333333,,,,
73,6,3,0.5,,,,
74,2,3,1.5,,,,
75,6,3,0.5,,,,
76,4,5,1.25,,,,
77,10,5,0.5,,,,
78,3,3,1,,,,
79,2,1,0.5,,,,
80,3,3,1,,,,
81,3,2,0.666666667,,,,
82,4,4,1,,,,
83,2,4,2,,,,
84,4,2,0.5,,,,
85,0,1,.,,,,
86,3,3,1,,,,
87,6,3,0.5,,,,
88,4,7,1.75,,,,
89,6,2,0.333333333,,,,
90,6,3,0.5,,,,
91,3,2,0.666666667,,,,
92,2,5,2.5,,,,
93,2,0,0,,,,
94,3,3,1,,,,
95,4,7,1.75,,,,
96,5,4,0.8,,,,
97,3,2,0.666666667,,,,
98,6,5,0.833333333,,,,
99,7,7,1,,,,
100,1,1,1,,,,
101,1,3,3,,,,
102,2,6,3,,,,
103,2,1,0.5,,,,
