Definition: ,Percentage of women with a live birth or a stillbirth in the last 2 years who took iron tablets or syrup during their most recent pregnancy.,,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey ,,,,,,,
,,,,,,,,
Average,0.710867403,,National weighted average,,71.9,,DHS report,70.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
v001,birthsw,ironsuppl,,,,,,
1,4,2,0.5,,,,,
2,4,5,1.25,,,,,
3,4,6,1.5,,,,,
4,0,1,.,,,,,
5,2,2,1,,,,,
6,4,3,0.75,,,,,
7,3,2,0.666666667,,,,,
8,4,4,1,,,,,
9,4,3,0.75,,,,,
10,4,5,1.25,,,,,
11,4,4,1,,,,,
12,4,1,0.25,,,,,
13,2,1,0.5,,,,,
14,0,0,.,,,,,
15,2,1,0.5,,,,,
16,2,1,0.5,,,,,
17,8,2,0.25,,,,,
18,12,5,0.416666667,,,,,
19,0,2,.,,,,,
20,2,2,1,,,,,
21,4,3,0.75,,,,,
22,5,2,0.4,,,,,
23,3,3,1,,,,,
24,6,6,1,,,,,
25,3,3,1,,,,,
26,2,3,1.5,,,,,
27,5,2,0.4,,,,,
28,3,2,0.666666667,,,,,
29,7,4,0.571428571,,,,,
30,4,2,0.5,,,,,
31,2,1,0.5,,,,,
32,5,3,0.6,,,,,
33,3,2,0.666666667,,,,,
34,0,0,.,,,,,
35,2,2,1,,,,,
36,5,4,0.8,,,,,
37,1,2,2,,,,,
38,2,2,1,,,,,
39,0,0,.,,,,,
40,8,7,0.875,,,,,
41,7,1,0.142857143,,,,,
42,4,5,1.25,,,,,
43,4,4,1,,,,,
44,7,3,0.428571429,,,,,
45,3,4,1.333333333,,,,,
46,5,2,0.4,,,,,
47,1,3,3,,,,,
48,7,4,0.571428571,,,,,
49,3,1,0.333333333,,,,,
50,4,3,0.75,,,,,
51,3,2,0.666666667,,,,,
52,12,8,0.666666667,,,,,
53,1,1,1,,,,,
54,1,1,1,,,,,
55,3,1,0.333333333,,,,,
56,1,3,3,,,,,
57,3,0,0,,,,,
58,2,1,0.5,,,,,
59,3,1,0.333333333,,,,,
60,1,1,1,,,,,
61,7,2,0.285714286,,,,,
62,1,2,2,,,,,
63,5,5,1,,,,,
64,6,3,0.5,,,,,
65,3,5,1.666666667,,,,,
66,7,2,0.285714286,,,,,
67,2,2,1,,,,,
68,1,1,1,,,,,
69,4,2,0.5,,,,,
70,2,2,1,,,,,
71,3,2,0.666666667,,,,,
72,3,4,1.333333333,,,,,
73,6,1,0.166666667,,,,,
74,2,2,1,,,,,
75,6,3,0.5,,,,,
76,4,3,0.75,,,,,
77,10,5,0.5,,,,,
78,3,2,0.666666667,,,,,
79,2,1,0.5,,,,,
80,3,3,1,,,,,
81,3,2,0.666666667,,,,,
82,4,2,0.5,,,,,
83,2,3,1.5,,,,,
84,4,1,0.25,,,,,
85,0,1,.,,,,,
86,3,3,1,,,,,
87,6,3,0.5,,,,,
88,4,6,1.5,,,,,
89,6,1,0.166666667,,,,,
90,6,3,0.5,,,,,
91,3,1,0.333333333,,,,,
92,2,3,1.5,,,,,
93,2,0,0,,,,,
94,3,2,0.666666667,,,,,
95,4,5,1.25,,,,,
