Definition: ,Percentage of women who had a live birth in the two years preceding the survey whose first antenatal care visit was at less than 4 months,,,,,,
Denominator,Women who had a live birth in the two (or three/five) years preceding the survey,,,,,,
,,,,,,,
Average:,0.1712961,,National Weighted Average,,18.9,Statcompiler,18.9
,,,,,,,
,,,,,,,
v001,birthsw,anc4mow,,,,,
1,4,3,0.75,,,,
2,4,1,0.25,,,,
3,4,1,0.25,,,,
4,0,0,.,,,,
5,2,0,0,,,,
6,4,3,0.75,,,,
7,3,2,0.666666667,,,,
8,4,2,0.5,,,,
9,4,0,0,,,,
10,4,0,0,,,,
11,4,2,0.5,,,,
12,4,2,0.5,,,,
13,2,0,0,,,,
14,0,0,.,,,,
15,2,0,0,,,,
16,2,1,0.5,,,,
17,8,2,0.25,,,,
18,12,3,0.25,,,,
19,0,0,.,,,,
20,2,0,0,,,,
21,4,1,0.25,,,,
22,5,0,0,,,,
23,3,1,0.333333333,,,,
24,6,5,0.833333333,,,,
25,3,0,0,,,,
26,2,0,0,,,,
27,5,2,0.4,,,,
28,3,2,0.666666667,,,,
29,7,2,0.285714286,,,,
30,4,1,0.25,,,,
31,2,0,0,,,,
32,5,3,0.6,,,,
33,3,1,0.333333333,,,,
34,0,0,.,,,,
35,2,0,0,,,,
36,5,1,0.2,,,,
37,1,1,1,,,,
38,2,1,0.5,,,,
39,0,0,.,,,,
40,8,0,0,,,,
41,7,2,0.285714286,,,,
42,4,2,0.5,,,,
43,4,1,0.25,,,,
44,7,2,0.285714286,,,,
45,3,1,0.333333333,,,,
46,5,2,0.4,,,,
47,1,1,1,,,,
48,7,1,0.142857143,,,,
49,3,2,0.666666667,,,,
50,4,0,0,,,,
51,3,0,0,,,,
52,12,4,0.333333333,,,,
53,1,0,0,,,,
54,1,1,1,,,,
55,3,2,0.666666667,,,,
56,1,1,1,,,,
57,3,0,0,,,,
58,2,0,0,,,,
59,3,0,0,,,,
60,1,0,0,,,,
61,7,0,0,,,,
62,1,0,0,,,,
63,5,0,0,,,,
64,6,1,0.166666667,,,,
65,3,2,0.666666667,,,,
66,7,0,0,,,,
67,2,0,0,,,,
68,1,0,0,,,,
69,4,0,0,,,,
70,2,0,0,,,,
71,3,1,0.333333333,,,,
72,3,0,0,,,,
73,6,2,0.333333333,,,,
74,2,1,0.5,,,,
75,6,1,0.166666667,,,,
76,4,0,0,,,,
77,10,1,0.1,,,,
78,3,2,0.666666667,,,,
79,2,0,0,,,,
80,3,0,0,,,,
81,3,1,0.333333333,,,,
82,4,0,0,,,,
83,2,0,0,,,,
84,4,1,0.25,,,,
85,0,0,.,,,,
86,3,0,0,,,,
87,6,1,0.166666667,,,,
88,4,0,0,,,,
89,6,2,0.333333333,,,,
90,6,0,0,,,,
91,3,0,0,,,,
92,2,1,0.5,,,,
93,2,0,0,,,,
94,3,0,0,,,,
95,4,2,0.5,,,,
96,5,1,0.2,,,,
97,3,1,0.333333333,,,,
98,6,1,0.166666667,,,,
99,7,2,0.285714286,,,,
100,1,0,0,,,,
101,1,0,0,,,,
102,2,0,0,,,,
103,2,0,0,,,,
104,5,1,0.2,,,,
105,1,0,0,,,,
106,0,0,.,,,,
107,4,1,0.25,,,,
