Definition: ,"Percentage of women with a live birth or a stillbirth in the last 2 years, distributed by number of months pregnant at time of first antenatal care visit for most recent birth",,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey (m80 = 1 or 3 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.27763809,,National weighted average,,,28.7,DHS report,29
,,,,,,,,
,,,,,,,,
v001,birthsw,anc4mow,,,,,,
1,2,0,0,,,,,
2,1,1,1,,,,,
3,3,1,0.333333333,,,,,
4,4,1,0.25,,,,,
5,5,2,0.4,,,,,
6,3,0,0,,,,,
7,1,0,0,,,,,
8,3,1,0.333333333,,,,,
9,2,0,0,,,,,
10,2,0,0,,,,,
11,6,4,0.666666667,,,,,
12,5,1,0.2,,,,,
13,6,1,0.166666667,,,,,
14,2,2,1,,,,,
15,5,0,0,,,,,
16,3,0,0,,,,,
17,3,1,0.333333333,,,,,
18,6,1,0.166666667,,,,,
19,5,1,0.2,,,,,
20,2,0,0,,,,,
21,5,1,0.2,,,,,
22,2,0,0,,,,,
23,6,1,0.166666667,,,,,
24,2,1,0.5,,,,,
25,3,0,0,,,,,
26,1,0,0,,,,,
27,4,0,0,,,,,
28,9,2,0.222222222,,,,,
29,3,2,0.666666667,,,,,
30,1,1,1,,,,,
31,1,1,1,,,,,
32,4,2,0.5,,,,,
33,6,1,0.166666667,,,,,
34,2,0,0,,,,,
35,3,1,0.333333333,,,,,
36,8,2,0.25,,,,,
37,4,0,0,,,,,
38,3,0,0,,,,,
39,2,0,0,,,,,
40,5,2,0.4,,,,,
41,7,0,0,,,,,
42,7,1,0.142857143,,,,,
43,8,2,0.25,,,,,
44,7,0,0,,,,,
45,2,0,0,,,,,
46,6,0,0,,,,,
47,9,1,0.111111111,,,,,
48,11,3,0.272727273,,,,,
49,2,0,0,,,,,
50,7,2,0.285714286,,,,,
51,1,0,0,,,,,
52,4,2,0.5,,,,,
53,5,0,0,,,,,
54,7,3,0.428571429,,,,,
55,1,0,0,,,,,
56,3,1,0.333333333,,,,,
57,2,0,0,,,,,
58,4,4,1,,,,,
59,2,0,0,,,,,
60,2,1,0.5,,,,,
61,1,0,0,,,,,
62,4,0,0,,,,,
63,3,1,0.333333333,,,,,
64,4,1,0.25,,,,,
65,5,2,0.4,,,,,
66,2,0,0,,,,,
67,1,0,0,,,,,
68,3,0,0,,,,,
69,10,5,0.5,,,,,
70,3,0,0,,,,,
71,3,1,0.333333333,,,,,
72,10,3,0.3,,,,,
73,4,2,0.5,,,,,
74,6,3,0.5,,,,,
75,6,1,0.166666667,,,,,
76,7,3,0.428571429,,,,,
77,5,1,0.2,,,,,
78,2,0,0,,,,,
79,3,0,0,,,,,
80,2,1,0.5,,,,,
81,2,0,0,,,,,
82,6,5,0.833333333,,,,,
83,3,2,0.666666667,,,,,
84,6,2,0.333333333,,,,,
85,6,3,0.5,,,,,
86,1,0,0,,,,,
87,3,1,0.333333333,,,,,
88,4,0,0,,,,,
89,7,3,0.428571429,,,,,
90,2,1,0.5,,,,,
91,4,1,0.25,,,,,
92,5,0,0,,,,,
93,3,2,0.666666667,,,,,
94,2,0,0,,,,,
95,1,1,1,,,,,
96,2,0,0,,,,,
