Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
1,0,0,.,,,,
2,0,0,.,,,,
3,2,2,1,,,,
4,0,0,.,,,,
5,1,0,0,,,,
6,1,1,1,,,,
7,0,0,.,,,,
8,0,0,.,,,,
9,0,0,.,,,,
10,0,0,.,,,,
11,0,0,.,,,,
12,3,2,0.666666667,,,,
13,0,0,.,,,,
14,0,0,.,,,,
15,0,0,.,,,,
16,0,0,.,,,,
17,1,1,1,,,,
18,3,2,0.666666667,,,,
19,1,1,1,,,,
20,0,0,.,,,,
21,1,1,1,,,,
22,1,0,0,,,,
23,2,0,0,,,,
24,0,0,.,,,,
25,0,0,.,,,,
26,0,0,.,,,,
27,1,0,0,,,,
28,1,1,1,,,,
29,1,0,0,,,,
30,1,1,1,,,,
31,0,0,.,,,,
32,0,0,.,,,,
33,0,0,.,,,,
34,0,0,.,,,,
35,2,1,0.5,,,,
36,0,0,.,,,,
37,1,1,1,,,,
38,2,1,0.5,,,,
39,1,1,1,,,,
40,1,1,1,,,,
41,0,0,.,,,,
42,0,0,.,,,,
43,0,0,.,,,,
44,0,0,.,,,,
45,0,0,.,,,,
46,0,0,.,,,,
47,0,0,.,,,,
48,3,0,0,,,,
49,0,0,.,,,,
50,1,1,1,,,,
51,0,0,.,,,,
52,2,2,1,,,,
53,0,0,.,,,,
54,1,1,1,,,,
55,0,0,.,,,,
56,1,1,1,,,,
57,1,0,0,,,,
58,0,0,.,,,,
59,0,0,.,,,,
60,0,0,.,,,,
61,1,0,0,,,,
62,0,0,.,,,,
63,1,1,1,,,,
64,2,1,0.5,,,,
65,0,0,.,,,,
66,1,1,1,,,,
67,0,0,.,,,,
68,2,2,1,,,,
69,2,2,1,,,,
70,1,0,0,,,,
71,0,0,.,,,,
72,2,1,0.5,,,,
73,0,0,.,,,,
74,1,1,1,,,,
75,0,0,.,,,,
76,0,0,.,,,,
77,0,0,.,,,,
78,0,0,.,,,,
79,0,0,.,,,,
80,0,0,.,,,,
81,2,1,0.5,,,,
82,1,1,1,,,,
83,2,2,1,,,,
84,0,0,.,,,,
85,2,1,0.5,,,,
86,0,0,.,,,,
87,0,0,.,,,,
88,2,2,1,,,,
89,2,2,1,,,,
90,0,0,.,,,,
91,1,1,1,,,,
92,1,1,1,,,,
93,1,1,1,,,,
94,1,1,1,,,,
95,1,1,1,,,,
96,0,0,.,,,,
97,0,0,.,,,,
98,0,0,.,,,,
99,0,0,.,,,,
100,0,0,.,,,,
101,0,0,.,,,,
102,0,0,.,,,,
103,0,0,.,,,,
104,1,1,1,,,,
105,1,1,1,,,,
106,0,0,.,,,,
107,0,0,.,,,,
108,0,0,.,,,,
109,0,0,.,,,,
110,0,0,.,,,,
111,1,1,1,,,,
112,0,0,.,,,,
113,0,0,.,,,,
114,2,2,1,,,,
115,3,0,0,,,,
116,1,0,0,,,,
117,1,0,0,,,,
118,0,0,.,,,,
119,0,0,.,,,,
120,1,1,1,,,,
