v001,currentlymarried,fp_cruse_mod,
1,8,7,0.875
2,10,9,0.9
3,11,11,1
4,8,5,0.625
5,4,1,0.25
6,6,6,1
7,5,3,0.6
8,9,3,0.333333333
9,8,5,0.625
10,9,4,0.444444444
11,9,1,0.111111111
12,10,3,0.3
13,9,6,0.666666667
14,6,4,0.666666667
15,9,5,0.555555556
16,7,4,0.571428571
17,11,9,0.818181818
18,16,11,0.6875
19,11,6,0.545454545
20,12,7,0.583333333
21,12,5,0.416666667
22,11,8,0.727272727
23,11,9,0.818181818
24,14,10,0.714285714
25,16,7,0.4375
26,8,4,0.5
27,10,6,0.6
28,9,4,0.444444444
29,11,6,0.545454545
30,14,14,1
31,9,3,0.333333333
32,12,6,0.5
33,6,3,0.5
34,4,1,0.25
35,6,3,0.5
36,10,8,0.8
37,11,8,0.727272727
38,7,4,0.571428571
39,8,7,0.875
40,15,13,0.866666667
41,11,8,0.727272727
42,14,9,0.642857143
43,10,6,0.6
44,16,11,0.6875
45,7,6,0.857142857
46,9,7,0.777777778
47,10,8,0.8
48,18,14,0.777777778
49,8,5,0.625
50,10,7,0.7
51,13,3,0.230769231
52,12,11,0.916666667
53,13,9,0.692307692
54,10,8,0.8
55,7,4,0.571428571
56,6,5,0.833333333
57,11,6,0.545454545
58,14,13,0.928571429
59,10,8,0.8
60,7,6,0.857142857
61,10,7,0.7
62,11,9,0.818181818
63,13,9,0.692307692
64,13,9,0.692307692
65,13,11,0.846153846
66,8,8,1
67,9,7,0.777777778
68,11,7,0.636363636
69,7,6,0.857142857
70,13,8,0.615384615
71,9,8,0.888888889
72,13,10,0.769230769
73,14,8,0.571428571
74,8,5,0.625
75,11,6,0.545454545
76,11,7,0.636363636
77,15,9,0.6
78,7,3,0.428571429
79,11,10,0.909090909
80,12,8,0.666666667
81,11,7,0.636363636
82,6,4,0.666666667
83,8,6,0.75
84,12,9,0.75
85,7,5,0.714285714
86,10,8,0.8
87,9,7,0.777777778
88,16,10,0.625
89,8,5,0.625
90,14,12,0.857142857
91,12,9,0.75
92,14,9,0.642857143
93,10,9,0.9
94,8,4,0.5
95,11,11,1
96,18,12,0.666666667
97,16,13,0.8125
98,15,12,0.8
99,14,11,0.785714286
100,4,3,0.75
101,11,9,0.818181818
102,19,13,0.684210526
103,6,4,0.666666667
104,12,8,0.666666667
105,11,10,0.909090909
106,11,7,0.636363636
107,11,10,0.909090909
108,9,7,0.777777778
109,6,3,0.5
110,10,8,0.8
111,10,8,0.8
112,10,8,0.8
113,8,6,0.75
114,10,6,0.6
115,12,8,0.666666667
116,11,8,0.727272727
117,15,8,0.533333333
118,19,12,0.631578947
119,10,5,0.5
120,6,5,0.833333333
121,9,6,0.666666667
122,12,8,0.666666667
123,12,5,0.416666667
124,12,6,0.5
125,9,7,0.777777778
126,14,11,0.785714286
127,7,6,0.857142857
128,6,6,1
129,12,6,0.5
130,5,3,0.6
131,8,6,0.75
132,11,7,0.636363636
133,13,9,0.692307692
134,4,3,0.75
135,13,12,0.923076923
136,13,8,0.615384615
137,10,9,0.9
138,10,6,0.6
139,16,12,0.75
140,6,5,0.833333333
141,10,7,0.7
142,11,10,0.909090909
143,9,8,0.888888889
144,13,10,0.769230769
145,12,9,0.75
146,4,3,0.75
147,8,7,0.875
148,9,5,0.555555556
149,12,9,0.75
150,12,8,0.666666667
151,12,11,0.916666667
152,14,11,0.785714286
153,11,9,0.818181818
154,10,8,0.8
155,11,9,0.818181818
156,15,10,0.666666667
157,14,10,0.714285714
158,7,4,0.571428571
159,11,5,0.454545455
160,8,5,0.625
161,10,6,0.6
162,14,8,0.571428571
163,9,7,0.777777778
164,9,9,1
165,12,8,0.666666667
166,10,7,0.7
167,14,12,0.857142857
168,12,11,0.916666667
169,13,10,0.769230769
170,10,5,0.5
171,9,4,0.444444444
172,12,10,0.833333333
173,10,10,1
174,13,10,0.769230769
175,10,6,0.6
176,13,11,0.846153846
177,7,6,0.857142857
178,11,7,0.636363636
179,12,9,0.75
180,10,7,0.7
181,6,5,0.833333333
182,16,13,0.8125
183,13,9,0.692307692
184,12,9,0.75
185,11,7,0.636363636
186,10,6,0.6
187,13,12,0.923076923
188,9,7,0.777777778
189,8,7,0.875
190,6,5,0.833333333
191,9,8,0.888888889
192,14,11,0.785714286
193,12,8,0.666666667
194,8,6,0.75
195,9,6,0.666666667
196,6,3,0.5
197,11,6,0.545454545
198,9,5,0.555555556
199,16,12,0.75
200,14,12,0.857142857
201,13,9,0.692307692
202,11,6,0.545454545
203,8,6,0.75
204,10,7,0.7
205,6,4,0.666666667
206,10,6,0.6
207,7,5,0.714285714
208,10,4,0.4
209,5,3,0.6
210,9,4,0.444444444
211,9,8,0.888888889
212,9,6,0.666666667
213,13,10,0.769230769
214,8,6,0.75
215,13,11,0.846153846
216,11,8,0.727272727
217,4,4,1
218,4,3,0.75
219,3,1,0.333333333
220,9,5,0.555555556
221,15,10,0.666666667
222,10,9,0.9
223,6,2,0.333333333
224,15,11,0.733333333
225,8,5,0.625
226,5,3,0.6
227,14,12,0.857142857
228,14,9,0.642857143
229,11,8,0.727272727
230,12,8,0.666666667
231,12,10,0.833333333
232,10,4,0.4
233,8,5,0.625
234,9,5,0.555555556
235,12,3,0.25
236,9,2,0.222222222
237,17,1,0.058823529
238,8,3,0.375
239,6,4,0.666666667
240,10,5,0.5
241,11,3,0.272727273
242,9,5,0.555555556
243,11,1,0.090909091
244,12,4,0.333333333
245,14,7,0.5
246,9,5,0.555555556
247,10,2,0.2
248,11,6,0.545454545
249,12,6,0.5
250,6,3,0.5
251,7,1,0.142857143
252,9,6,0.666666667
253,9,6,0.666666667
254,5,5,1
255,8,5,0.625
256,10,7,0.7
257,9,5,0.555555556
258,10,4,0.4
259,7,6,0.857142857
260,13,10,0.769230769
261,12,10,0.833333333
262,4,3,0.75
263,10,5,0.5
264,12,8,0.666666667
265,9,4,0.444444444
266,6,2,0.333333333
267,8,5,0.625
268,15,6,0.4
269,12,7,0.583333333
270,12,6,0.5
271,16,7,0.4375
272,13,5,0.384615385
273,9,3,0.333333333
274,16,4,0.25
275,13,7,0.538461538
276,14,6,0.428571429
277,14,6,0.428571429
278,16,8,0.5
279,15,11,0.733333333
280,17,5,0.294117647
281,18,3,0.166666667
282,14,3,0.214285714
283,10,4,0.4
284,11,3,0.272727273
285,8,5,0.625
286,11,8,0.727272727
287,8,2,0.25
288,7,4,0.571428571
