Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.073197001,,Weighted natioal estimate,,,StatCompiler,7
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
1,14,0,0,,,,
2,17,0,0,,,,
3,16,0,0,,,,
4,11,1,0.090909091,,,,
5,11,1,0.090909091,,,,
6,17,0,0,,,,
7,9,0,0,,,,
8,15,2,0.133333333,,,,
9,13,0,0,,,,
10,19,0,0,,,,
11,22,2,0.090909091,,,,
12,15,1,0.066666667,,,,
13,13,0,0,,,,
14,10,0,0,,,,
15,15,0,0,,,,
16,16,0,0,,,,
17,20,1,0.05,,,,
18,26,0,0,,,,
19,13,0,0,,,,
20,22,2,0.090909091,,,,
21,16,1,0.0625,,,,
22,22,0,0,,,,
23,13,0,0,,,,
24,20,0,0,,,,
25,25,2,0.08,,,,
26,15,0,0,,,,
27,17,1,0.058823529,,,,
28,28,0,0,,,,
29,20,0,0,,,,
30,19,1,0.052631579,,,,
31,19,3,0.157894737,,,,
32,20,0,0,,,,
33,10,0,0,,,,
34,14,0,0,,,,
35,7,0,0,,,,
36,13,0,0,,,,
37,15,0,0,,,,
38,24,1,0.041666667,,,,
39,13,2,0.153846154,,,,
40,20,1,0.05,,,,
41,19,2,0.105263158,,,,
42,21,0,0,,,,
43,19,0,0,,,,
44,24,1,0.041666667,,,,
45,14,0,0,,,,
46,25,0,0,,,,
47,37,2,0.054054054,,,,
48,23,2,0.086956522,,,,
49,14,2,0.142857143,,,,
50,20,0,0,,,,
51,24,1,0.041666667,,,,
52,20,2,0.1,,,,
53,24,1,0.041666667,,,,
54,20,0,0,,,,
55,15,0,0,,,,
56,16,1,0.0625,,,,
57,18,0,0,,,,
58,19,0,0,,,,
59,20,1,0.05,,,,
60,16,0,0,,,,
61,14,1,0.071428571,,,,
62,14,0,0,,,,
63,15,0,0,,,,
64,18,0,0,,,,
65,16,1,0.0625,,,,
66,13,0,0,,,,
67,16,0,0,,,,
68,18,2,0.111111111,,,,
69,16,0,0,,,,
70,23,0,0,,,,
71,14,0,0,,,,
72,18,0,0,,,,
73,17,0,0,,,,
74,20,0,0,,,,
75,18,0,0,,,,
76,18,1,0.055555556,,,,
77,19,2,0.105263158,,,,
78,8,0,0,,,,
79,16,1,0.0625,,,,
80,19,1,0.052631579,,,,
81,16,0,0,,,,
82,18,1,0.055555556,,,,
83,16,1,0.0625,,,,
84,17,1,0.058823529,,,,
85,17,0,0,,,,
86,22,0,0,,,,
87,13,0,0,,,,
88,24,3,0.125,,,,
89,16,1,0.0625,,,,
90,26,1,0.038461538,,,,
91,19,0,0,,,,
92,22,1,0.045454545,,,,
93,18,0,0,,,,
94,21,3,0.142857143,,,,
95,21,1,0.047619048,,,,
96,26,1,0.038461538,,,,
97,22,2,0.090909091,,,,
98,20,1,0.05,,,,
99,26,0,0,,,,
100,13,0,0,,,,
101,22,0,0,,,,
102,25,0,0,,,,
103,13,0,0,,,,
104,23,0,0,,,,
105,17,0,0,,,,
106,19,2,0.105263158,,,,
107,20,0,0,,,,
108,17,0,0,,,,
109,16,0,0,,,,
