Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.064747649,,Weighted natioal estimate,,5.4,StatCompiler,6.5
,,,,,,,
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
1,17,0,0,,,,
2,14,1,0.071428571,,,,
3,13,1,0.076923077,,,,
4,18,0,0,,,,
5,16,0,0,,,,
6,19,1,0.052631579,,,,
7,13,1,0.076923077,,,,
8,15,1,0.066666667,,,,
9,19,2,0.105263158,,,,
10,13,1,0.076923077,,,,
11,22,4,0.181818182,,,,
12,32,1,0.03125,,,,
13,26,1,0.038461538,,,,
14,18,1,0.055555556,,,,
15,28,1,0.035714286,,,,
16,22,4,0.181818182,,,,
17,18,0,0,,,,
18,18,0,0,,,,
19,22,2,0.090909091,,,,
20,17,1,0.058823529,,,,
21,17,2,0.117647059,,,,
22,16,0,0,,,,
23,16,0,0,,,,
24,14,0,0,,,,
25,17,2,0.117647059,,,,
26,15,0,0,,,,
27,25,4,0.16,,,,
28,29,3,0.103448276,,,,
29,25,0,0,,,,
30,20,1,0.05,,,,
31,14,0,0,,,,
32,18,1,0.055555556,,,,
33,25,2,0.08,,,,
34,17,0,0,,,,
35,18,3,0.166666667,,,,
36,28,3,0.107142857,,,,
37,14,2,0.142857143,,,,
38,19,0,0,,,,
39,22,2,0.090909091,,,,
40,20,4,0.2,,,,
41,26,3,0.115384615,,,,
42,21,2,0.095238095,,,,
43,18,9,0.5,,,,
44,20,4,0.2,,,,
45,12,1,0.083333333,,,,
46,26,8,0.307692308,,,,
47,20,4,0.2,,,,
48,31,2,0.064516129,,,,
49,12,0,0,,,,
50,22,5,0.227272727,,,,
51,26,1,0.038461538,,,,
52,26,1,0.038461538,,,,
53,25,1,0.04,,,,
54,26,2,0.076923077,,,,
55,21,4,0.19047619,,,,
56,26,6,0.230769231,,,,
57,10,0,0,,,,
58,17,1,0.058823529,,,,
59,14,0,0,,,,
60,21,0,0,,,,
61,17,4,0.235294118,,,,
62,21,1,0.047619048,,,,
63,19,0,0,,,,
64,16,2,0.125,,,,
65,29,4,0.137931034,,,,
66,25,5,0.2,,,,
67,15,1,0.066666667,,,,
68,30,5,0.166666667,,,,
69,26,5,0.192307692,,,,
70,20,1,0.05,,,,
71,18,0,0,,,,
72,25,6,0.24,,,,
73,10,2,0.2,,,,
74,17,5,0.294117647,,,,
75,17,2,0.117647059,,,,
76,36,5,0.138888889,,,,
77,20,3,0.15,,,,
78,21,3,0.142857143,,,,
79,26,2,0.076923077,,,,
80,16,1,0.0625,,,,
81,14,2,0.142857143,,,,
82,21,1,0.047619048,,,,
83,22,1,0.045454545,,,,
84,20,2,0.1,,,,
85,25,3,0.12,,,,
86,10,1,0.1,,,,
87,14,3,0.214285714,,,,
88,21,0,0,,,,
89,17,2,0.117647059,,,,
90,15,2,0.133333333,,,,
91,26,0,0,,,,
92,22,1,0.045454545,,,,
93,16,1,0.0625,,,,
94,13,0,0,,,,
95,12,0,0,,,,
96,21,1,0.047619048,,,,
97,34,5,0.147058824,,,,
98,31,4,0.129032258,,,,
99,27,3,0.111111111,,,,
100,20,0,0,,,,
