Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.074455861,,National Weighted Average,,7.5,Statcompiler,7.6
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
1,2,0,0,,,,
2,2,1,0.5,,,,
3,5,0,0,,,,
4,1,1,1,,,,
5,2,0,0,,,,
6,4,1,0.25,,,,
7,2,0,0,,,,
8,5,0,0,,,,
9,2,0,0,,,,
10,7,1,0.142857143,,,,
11,7,2,0.285714286,,,,
12,2,0,0,,,,
13,1,0,0,,,,
14,2,0,0,,,,
15,2,0,0,,,,
16,2,0,0,,,,
17,4,0,0,,,,
18,8,0,0,,,,
19,3,0,0,,,,
20,4,0,0,,,,
21,3,0,0,,,,
22,3,1,0.333333333,,,,
23,5,0,0,,,,
24,8,0,0,,,,
25,6,0,0,,,,
26,3,0,0,,,,
27,7,1,0.142857143,,,,
28,2,0,0,,,,
29,5,0,0,,,,
30,4,2,0.5,,,,
31,1,0,0,,,,
32,6,0,0,,,,
33,4,0,0,,,,
34,0,0,.,,,,
35,3,0,0,,,,
36,8,1,0.125,,,,
37,4,0,0,,,,
38,3,0,0,,,,
39,1,0,0,,,,
40,10,1,0.1,,,,
41,5,0,0,,,,
42,6,1,0.166666667,,,,
43,4,0,0,,,,
44,4,0,0,,,,
45,7,3,0.428571429,,,,
46,2,0,0,,,,
47,3,0,0,,,,
48,8,0,0,,,,
49,0,0,.,,,,
50,7,0,0,,,,
51,4,0,0,,,,
52,11,3,0.272727273,,,,
53,4,1,0.25,,,,
54,2,0,0,,,,
55,2,0,0,,,,
56,4,0,0,,,,
57,1,0,0,,,,
58,2,0,0,,,,
59,2,0,0,,,,
60,1,0,0,,,,
61,5,0,0,,,,
62,2,0,0,,,,
63,6,0,0,,,,
64,7,2,0.285714286,,,,
65,6,0,0,,,,
66,5,0,0,,,,
67,5,0,0,,,,
68,1,0,0,,,,
69,3,0,0,,,,
70,4,0,0,,,,
71,3,0,0,,,,
72,3,1,0.333333333,,,,
73,4,0,0,,,,
74,3,0,0,,,,
75,4,1,0.25,,,,
76,6,1,0.166666667,,,,
77,8,1,0.125,,,,
78,3,1,0.333333333,,,,
79,1,0,0,,,,
80,3,0,0,,,,
81,3,0,0,,,,
82,7,2,0.285714286,,,,
83,4,2,0.5,,,,
84,3,0,0,,,,
85,1,0,0,,,,
86,4,1,0.25,,,,
87,3,0,0,,,,
88,7,0,0,,,,
89,2,0,0,,,,
90,3,0,0,,,,
91,2,0,0,,,,
92,5,1,0.2,,,,
93,0,0,.,,,,
94,4,0,0,,,,
95,6,1,0.166666667,,,,
96,6,0,0,,,,
97,2,1,0.5,,,,
98,5,1,0.2,,,,
99,9,0,0,,,,
100,2,0,0,,,,
101,3,0,0,,,,
102,6,0,0,,,,
103,1,0,0,,,,
104,2,1,0.5,,,,
105,2,0,0,,,,
106,2,0,0,,,,
107,1,0,0,,,,
108,3,0,0,,,,
109,2,0,0,,,,
110,4,0,0,,,,
111,3,0,0,,,,
112,3,0,0,,,,
