Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.089625952,,National Weighted Average,,8.7,Statcompiler,9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
1,2,0,0,,,,
2,2,0,0,,,,
3,3,0,0,,,,
4,3,0,0,,,,
5,1,0,0,,,,
6,4,1,0.25,,,,
7,0,0,.,,,,
8,1,0,0,,,,
9,2,0,0,,,,
10,2,0,0,,,,
11,3,0,0,,,,
12,7,0,0,,,,
13,3,0,0,,,,
14,2,0,0,,,,
15,3,0,0,,,,
16,4,1,0.25,,,,
17,4,1,0.25,,,,
18,5,2,0.4,,,,
19,4,0,0,,,,
20,3,0,0,,,,
21,4,1,0.25,,,,
22,5,0,0,,,,
23,3,2,0.666666667,,,,
24,2,0,0,,,,
25,0,0,.,,,,
26,1,0,0,,,,
27,5,1,0.2,,,,
28,9,0,0,,,,
29,2,0,0,,,,
30,3,0,0,,,,
31,0,0,.,,,,
32,3,0,0,,,,
33,6,0,0,,,,
34,3,2,0.666666667,,,,
35,4,0,0,,,,
36,5,0,0,,,,
37,3,0,0,,,,
38,2,1,0.5,,,,
39,3,0,0,,,,
40,6,0,0,,,,
41,6,0,0,,,,
42,4,1,0.25,,,,
43,3,0,0,,,,
44,5,1,0.2,,,,
45,1,0,0,,,,
46,3,0,0,,,,
47,1,0,0,,,,
48,13,2,0.153846154,,,,
49,2,0,0,,,,
50,11,1,0.090909091,,,,
51,2,0,0,,,,
52,2,0,0,,,,
53,3,0,0,,,,
54,5,0,0,,,,
55,2,0,0,,,,
56,2,0,0,,,,
57,2,0,0,,,,
58,3,1,0.333333333,,,,
59,2,0,0,,,,
60,3,0,0,,,,
61,3,0,0,,,,
62,1,0,0,,,,
63,3,1,0.333333333,,,,
64,5,0,0,,,,
65,4,0,0,,,,
66,3,1,0.333333333,,,,
67,3,0,0,,,,
68,3,0,0,,,,
69,7,1,0.142857143,,,,
70,2,0,0,,,,
71,4,1,0.25,,,,
72,11,2,0.181818182,,,,
73,0,0,.,,,,
74,3,1,0.333333333,,,,
75,3,0,0,,,,
76,5,0,0,,,,
77,2,1,0.5,,,,
78,2,0,0,,,,
79,2,2,1,,,,
80,2,0,0,,,,
81,4,0,0,,,,
82,5,0,0,,,,
83,3,0,0,,,,
84,6,0,0,,,,
85,5,0,0,,,,
86,1,0,0,,,,
87,1,1,1,,,,
88,4,0,0,,,,
89,6,1,0.166666667,,,,
90,1,0,0,,,,
91,2,0,0,,,,
92,2,0,0,,,,
93,2,0,0,,,,
94,2,0,0,,,,
95,1,0,0,,,,
96,2,0,0,,,,
97,5,0,0,,,,
98,5,0,0,,,,
99,4,0,0,,,,
100,3,1,0.333333333,,,,
101,1,0,0,,,,
102,2,0,0,,,,
103,1,0,0,,,,
104,6,1,0.166666667,,,,
105,2,0,0,,,,
106,1,0,0,,,,
107,2,0,0,,,,
108,0,0,.,,,,
109,4,0,0,,,,
110,0,0,.,,,,
111,6,0,0,,,,
112,5,0,0,,,,
113,0,0,.,,,,
