v001,childage6to23,mimimumacceptablediet,
1,2,0,0
2,1,1,1
3,2,0,0
6,1,0,0
7,1,0,0
8,2,0,0
9,1,0,0
10,2,2,1
11,1,1,1
12,1,0,0
17,3,1,0.333333333
18,4,3,0.75
21,1,1,1
22,1,1,1
23,2,1,0.5
24,3,2,0.666666667
25,1,1,1
26,1,0,0
27,3,0,0
28,1,1,1
29,3,3,1
30,1,0,0
32,1,1,1
33,1,1,1
35,2,2,1
36,1,1,1
38,1,0,0
40,5,0,0
41,3,0,0
42,1,0,0
44,1,0,0
45,3,1,0.333333333
46,2,1,0.5
48,2,0,0
49,1,0,0
50,1,1,1
51,1,0,0
52,5,3,0.6
54,1,0,0
55,1,1,1
56,1,0,0
57,1,0,0
58,1,0,0
61,4,1,0.25
63,1,0,0
64,2,1,0.5
65,1,0,0
66,2,2,1
67,1,0,0
68,1,0,0
69,1,0,0
70,2,1,0.5
71,1,0,0
72,1,0,0
73,3,1,0.333333333
74,1,0,0
75,2,0,0
77,4,1,0.25
78,1,0,0
80,1,0,0
81,1,0,0
82,2,0,0
83,1,0,0
84,1,0,0
87,3,2,0.666666667
88,2,0,0
89,1,1,1
90,2,1,0.5
91,2,1,0.5
94,1,0,0
95,2,1,0.5
96,2,1,0.5
98,2,0,0
99,4,3,0.75
102,2,0,0
103,1,0,0
105,1,1,1
108,1,0,0
109,1,1,1
110,2,1,0.5
111,2,0,0
112,1,0,0
114,3,0,0
115,2,1,0.5
116,1,0,0
118,1,1,1
120,1,0,0
121,2,0,0
122,1,0,0
123,3,2,0.666666667
124,1,0,0
126,3,0,0
128,1,1,1
129,2,1,0.5
130,2,1,0.5
131,1,0,0
133,2,0,0
137,1,0,0
139,2,0,0
140,1,1,1
141,1,0,0
145,1,0,0
146,2,0,0
149,2,0,0
152,1,0,0
154,1,1,1
156,1,0,0
157,1,0,0
158,3,1,0.333333333
159,2,0,0
160,1,0,0
161,1,0,0
162,1,0,0
164,1,0,0
165,1,0,0
167,1,0,0
169,1,0,0
171,1,0,0
172,1,0,0
173,2,0,0
174,3,0,0
176,2,0,0
178,1,0,0
180,1,0,0
181,2,1,0.5
182,1,1,1
186,1,0,0
187,3,0,0
188,1,0,0
191,3,1,0.333333333
192,1,0,0
194,1,1,1
196,1,1,1
197,1,1,1
198,1,0,0
199,3,2,0.666666667
