hv001,Primaryage,NARPrimary,
1,5,5,1
2,6,6,1
3,13,12,0.923076923
4,9,9,1
5,12,11,0.916666667
6,9,8,0.888888889
7,3,2,0.666666667
8,7,5,0.714285714
9,11,9,0.818181818
10,13,12,0.923076923
11,14,13,0.928571429
12,10,8,0.8
13,9,9,1
14,3,3,1
15,6,6,1
16,1,1,1
17,7,7,1
18,13,11,0.846153846
19,6,6,1
20,12,10,0.833333333
21,9,8,0.888888889
22,7,7,1
23,10,9,0.9
24,9,9,1
25,10,10,1
26,6,6,1
27,24,24,1
28,8,8,1
29,7,6,0.857142857
30,12,10,0.833333333
31,16,14,0.875
32,5,3,0.6
33,5,5,1
34,2,2,1
35,2,2,1
36,3,3,1
37,6,4,0.666666667
38,1,1,1
39,11,10,0.909090909
40,14,13,0.928571429
41,15,15,1
42,15,14,0.933333333
43,12,12,1
44,8,6,0.75
45,6,6,1
46,6,6,1
47,13,13,1
48,16,15,0.9375
49,9,8,0.888888889
50,12,11,0.916666667
51,8,8,1
52,11,8,0.727272727
53,10,10,1
54,15,15,1
55,2,2,1
56,12,10,0.833333333
57,26,26,1
58,26,26,1
59,20,19,0.95
60,12,11,0.916666667
61,16,14,0.875
62,12,12,1
63,28,26,0.928571429
64,24,22,0.916666667
65,17,16,0.941176471
66,12,11,0.916666667
67,8,8,1
68,27,25,0.925925926
69,21,19,0.904761905
70,20,19,0.95
71,11,10,0.909090909
72,15,14,0.933333333
73,18,18,1
74,24,24,1
75,18,17,0.944444444
76,27,25,0.925925926
77,30,27,0.9
78,12,11,0.916666667
79,29,28,0.965517241
80,16,15,0.9375
81,6,6,1
82,20,19,0.95
83,14,14,1
84,13,13,1
85,17,16,0.941176471
86,8,6,0.75
87,19,18,0.947368421
88,30,27,0.9
89,9,9,1
90,6,4,0.666666667
91,15,14,0.933333333
92,15,15,1
93,13,13,1
94,10,10,1
95,14,13,0.928571429
96,17,17,1
97,18,18,1
98,18,18,1
99,9,8,0.888888889
100,9,9,1
101,20,18,0.9
102,23,22,0.956521739
103,8,8,1
104,8,8,1
105,11,11,1
106,16,16,1
107,14,13,0.928571429
108,10,9,0.9
109,8,8,1
110,13,12,0.923076923
111,13,13,1
112,18,18,1
113,11,11,1
114,13,13,1
115,15,15,1
116,14,13,0.928571429
117,13,13,1
118,4,4,1
119,15,15,1
120,6,6,1
121,5,5,1
122,9,9,1
123,12,9,0.75
124,4,4,1
125,19,18,0.947368421
126,15,12,0.8
127,10,10,1
128,16,14,0.875
129,17,17,1
130,3,2,0.666666667
131,3,3,1
132,13,13,1
133,21,21,1
134,7,7,1
135,10,9,0.9
136,10,10,1
137,18,18,1
138,9,9,1
139,24,23,0.958333333
140,3,3,1
141,17,17,1
142,14,13,0.928571429
143,8,6,0.75
144,19,19,1
145,13,13,1
146,10,9,0.9
147,16,13,0.8125
148,10,10,1
149,18,18,1
150,13,13,1
151,16,15,0.9375
152,12,11,0.916666667
153,15,14,0.933333333
154,18,17,0.944444444
155,10,9,0.9
156,14,14,1
157,8,8,1
158,5,3,0.6
159,6,6,1
160,8,7,0.875
161,14,14,1
162,18,17,0.944444444
163,10,8,0.8
164,10,9,0.9
165,27,27,1
166,14,13,0.928571429
167,13,13,1
168,14,14,1
169,25,24,0.96
170,12,11,0.916666667
171,14,14,1
172,14,14,1
173,16,15,0.9375
174,20,19,0.95
175,19,18,0.947368421
176,16,16,1
177,10,10,1
178,27,27,1
179,33,33,1
180,21,20,0.952380952
181,9,9,1
182,20,20,1
183,10,9,0.9
184,17,17,1
185,16,16,1
186,28,27,0.964285714
187,20,18,0.9
188,19,17,0.894736842
189,12,11,0.916666667
190,21,19,0.904761905
191,13,12,0.923076923
192,22,21,0.954545455
193,15,11,0.733333333
194,10,8,0.8
195,9,9,1
196,4,4,1
197,10,9,0.9
198,6,6,1
199,18,18,1
200,7,7,1
201,12,10,0.833333333
202,5,4,0.8
203,17,14,0.823529412
204,4,4,1
205,14,12,0.857142857
206,6,6,1
207,12,9,0.75
208,24,23,0.958333333
209,4,4,1
210,11,11,1
211,17,16,0.941176471
212,12,11,0.916666667
213,27,26,0.962962963
214,17,15,0.882352941
215,29,28,0.965517241
216,15,15,1
217,4,4,1
218,2,2,1
219,4,4,1
220,2,2,1
221,11,11,1
222,10,9,0.9
223,4,4,1
224,18,18,1
225,10,10,1
226,6,5,0.833333333
227,22,21,0.954545455
228,26,24,0.923076923
229,21,21,1
230,15,15,1
231,16,15,0.9375
232,10,9,0.9
233,12,9,0.75
234,6,6,1
235,23,21,0.913043478
236,8,7,0.875
237,24,19,0.791666667
238,7,7,1
239,9,8,0.888888889
240,11,7,0.636363636
241,9,9,1
242,10,10,1
243,5,3,0.6
244,17,17,1
245,17,17,1
246,7,7,1
247,8,8,1
248,12,10,0.833333333
249,9,7,0.777777778
250,9,9,1
251,5,5,1
252,9,8,0.888888889
253,7,7,1
254,3,3,1
255,8,7,0.875
256,4,3,0.75
257,6,4,0.666666667
258,6,5,0.833333333
259,6,6,1
260,12,11,0.916666667
261,5,5,1
262,5,5,1
263,9,8,0.888888889
264,11,9,0.818181818
265,7,7,1
