hv001,primaryage,NARPrimary,
1,16,16,1
2,9,7,0.777777778
3,10,8,0.8
4,8,7,0.875
5,14,14,1
6,11,9,0.818181818
7,8,8,1
8,10,9,0.9
9,15,14,0.933333333
10,19,17,0.894736842
11,17,16,0.941176471
12,16,12,0.75
13,17,13,0.764705882
14,14,9,0.642857143
15,9,7,0.777777778
16,17,16,0.941176471
17,4,3,0.75
18,7,7,1
19,15,13,0.866666667
20,8,6,0.75
21,13,11,0.846153846
22,11,8,0.727272727
23,13,12,0.923076923
24,5,4,0.8
25,7,7,1
26,11,10,0.909090909
27,12,10,0.833333333
28,21,19,0.904761905
29,8,7,0.875
30,6,5,0.833333333
31,2,2,1
32,8,7,0.875
33,12,9,0.75
34,14,13,0.928571429
35,11,9,0.818181818
36,14,10,0.714285714
37,13,11,0.846153846
38,5,4,0.8
39,16,13,0.8125
40,31,23,0.741935484
41,36,29,0.805555556
42,28,21,0.75
43,33,22,0.666666667
44,35,25,0.714285714
45,14,11,0.785714286
46,48,32,0.666666667
47,35,13,0.371428571
48,41,33,0.804878049
49,7,5,0.714285714
50,43,32,0.744186047
51,26,21,0.807692308
52,20,17,0.85
53,38,28,0.736842105
54,21,18,0.857142857
55,21,19,0.904761905
56,16,14,0.875
57,2,2,1
58,5,5,1
59,2,2,1
60,5,4,0.8
61,3,3,1
62,18,16,0.888888889
63,9,8,0.888888889
64,20,15,0.75
65,31,27,0.870967742
66,22,19,0.863636364
67,16,13,0.8125
68,38,34,0.894736842
69,44,29,0.659090909
70,16,14,0.875
71,10,9,0.9
72,47,25,0.531914894
73,5,5,1
74,30,22,0.733333333
75,35,30,0.857142857
76,54,42,0.777777778
77,41,36,0.87804878
78,28,23,0.821428571
79,47,36,0.765957447
80,14,14,1
81,14,12,0.857142857
82,18,16,0.888888889
83,19,15,0.789473684
84,25,22,0.88
85,18,16,0.888888889
86,10,7,0.7
87,27,20,0.740740741
88,4,3,0.75
89,22,19,0.863636364
90,6,5,0.833333333
91,30,28,0.933333333
92,14,13,0.928571429
93,10,8,0.8
94,7,7,1
95,5,5,1
96,14,12,0.857142857
97,40,32,0.8
98,37,33,0.891891892
99,41,37,0.902439024
100,14,11,0.785714286
101,11,8,0.727272727
102,8,7,0.875
103,17,13,0.764705882
104,23,17,0.739130435
105,13,12,0.923076923
106,11,11,1
107,12,12,1
108,9,8,0.888888889
109,15,10,0.666666667
110,27,23,0.851851852
111,29,24,0.827586207
112,28,17,0.607142857
113,38,6,0.157894737
114,26,23,0.884615385
115,25,10,0.4
116,33,24,0.727272727
117,42,26,0.619047619
118,43,31,0.720930233
119,37,26,0.702702703
120,33,16,0.484848485
121,43,12,0.279069767
122,32,19,0.59375
123,29,16,0.551724138
124,33,4,0.121212121
125,43,7,0.162790698
126,12,8,0.666666667
127,21,16,0.761904762
128,19,7,0.368421053
129,19,13,0.684210526
130,10,8,0.8
131,30,20,0.666666667
132,37,14,0.378378378
133,21,6,0.285714286
134,20,13,0.65
135,30,10,0.333333333
136,40,7,0.175
137,41,34,0.829268293
138,36,25,0.694444444
139,35,26,0.742857143
140,9,8,0.888888889
141,25,21,0.84
142,9,6,0.666666667
143,34,28,0.823529412
144,35,24,0.685714286
145,12,12,1
146,31,26,0.838709677
147,40,38,0.95
148,20,17,0.85
149,11,10,0.909090909
150,16,14,0.875
151,24,19,0.791666667
152,16,14,0.875
153,12,10,0.833333333
154,16,15,0.9375
155,6,6,1
156,16,13,0.8125
157,21,16,0.761904762
158,13,12,0.923076923
159,18,15,0.833333333
160,9,8,0.888888889
161,16,12,0.75
162,47,20,0.425531915
163,21,21,1
164,20,16,0.8
165,46,34,0.739130435
166,18,17,0.944444444
167,17,15,0.882352941
168,19,19,1
169,21,17,0.80952381
170,13,13,1
171,17,14,0.823529412
172,11,10,0.909090909
173,39,31,0.794871795
174,18,14,0.777777778
175,50,35,0.7
176,18,16,0.888888889
177,22,19,0.863636364
178,14,14,1
179,16,15,0.9375
180,19,16,0.842105263
181,15,13,0.866666667
182,11,10,0.909090909
183,24,21,0.875
184,10,9,0.9
185,20,17,0.85
186,22,17,0.772727273
187,6,6,1
188,28,25,0.892857143
189,6,5,0.833333333
190,16,15,0.9375
191,13,8,0.615384615
192,9,8,0.888888889
193,21,14,0.666666667
194,18,16,0.888888889
195,20,16,0.8
196,8,8,1
197,18,17,0.944444444
198,15,13,0.866666667
199,3,3,1
200,23,18,0.782608696
201,18,17,0.944444444
202,17,13,0.764705882
203,6,5,0.833333333
204,5,4,0.8
205,12,11,0.916666667
206,9,9,1
207,11,10,0.909090909
208,14,12,0.857142857
209,33,15,0.454545455
210,44,14,0.318181818
211,30,10,0.333333333
212,29,6,0.206896552
213,25,8,0.32
214,35,18,0.514285714
215,37,14,0.378378378
216,29,13,0.448275862
217,45,9,0.2
218,24,16,0.666666667
219,9,0,0
220,33,19,0.575757576
221,30,18,0.6
222,22,16,0.727272727
223,29,10,0.344827586
224,41,16,0.390243902
225,29,10,0.344827586
226,21,13,0.619047619
227,49,19,0.387755102
228,44,23,0.522727273
229,48,16,0.333333333
230,17,4,0.235294118
231,17,10,0.588235294
232,10,5,0.5
233,23,8,0.347826087
234,44,23,0.522727273
235,41,16,0.390243902
236,13,10,0.769230769
237,35,4,0.114285714
238,16,2,0.125
239,45,23,0.511111111
240,12,7,0.583333333
241,37,11,0.297297297
242,29,10,0.344827586
243,50,40,0.8
244,32,16,0.5
245,42,23,0.547619048
246,37,25,0.675675676
247,25,19,0.76
248,13,4,0.307692308
249,18,6,0.333333333
250,46,23,0.5
251,27,12,0.444444444
252,44,33,0.75
253,23,19,0.826086957
254,42,25,0.595238095
255,37,7,0.189189189
256,37,17,0.459459459
257,50,21,0.42
258,32,24,0.75
259,6,4,0.666666667
260,63,46,0.73015873
261,45,16,0.355555556
262,65,43,0.661538462
263,41,23,0.56097561
264,49,31,0.632653061
265,36,31,0.861111111
266,39,29,0.743589744
267,34,16,0.470588235
268,30,20,0.666666667
269,44,23,0.522727273
270,24,12,0.5
271,15,12,0.8
272,27,9,0.333333333
273,45,21,0.466666667
274,47,29,0.617021277
275,21,13,0.619047619
276,30,13,0.433333333
277,39,15,0.384615385
278,45,17,0.377777778
279,42,22,0.523809524
280,36,21,0.583333333
281,47,26,0.553191489
282,37,19,0.513513514
283,42,24,0.571428571
284,37,18,0.486486486
285,37,26,0.702702703
286,46,11,0.239130435
287,44,33,0.75
288,13,6,0.461538462
289,38,20,0.526315789
290,34,9,0.264705882
291,26,7,0.269230769
292,41,11,0.268292683
293,59,37,0.627118644
294,55,20,0.363636364
295,45,31,0.688888889
296,38,16,0.421052632
297,48,29,0.604166667
298,62,41,0.661290323
299,42,25,0.595238095
300,49,20,0.408163265
301,43,19,0.441860465
302,25,15,0.6
303,33,21,0.636363636
304,45,21,0.466666667
305,42,25,0.595238095
307,21,11,0.523809524
308,35,15,0.428571429
309,51,34,0.666666667
310,35,24,0.685714286
311,19,7,0.368421053
312,33,21,0.636363636
313,28,24,0.857142857
314,37,23,0.621621622
315,25,22,0.88
316,14,11,0.785714286
317,14,13,0.928571429
318,13,10,0.769230769
319,11,11,1
320,24,23,0.958333333
321,30,22,0.733333333
322,25,17,0.68
323,31,24,0.774193548
324,32,27,0.84375
325,18,7,0.388888889
326,27,15,0.555555556
327,29,25,0.862068966
328,29,8,0.275862069
329,24,18,0.75
330,38,33,0.868421053
331,45,34,0.755555556
332,31,25,0.806451613
333,17,12,0.705882353
334,18,14,0.777777778
335,28,21,0.75
336,22,21,0.954545455
337,32,17,0.53125
338,9,1,0.111111111
339,40,34,0.85
340,28,4,0.142857143
341,33,25,0.757575758
342,19,17,0.894736842
343,29,17,0.586206897
344,35,26,0.742857143
345,27,23,0.851851852
346,26,20,0.769230769
347,39,28,0.717948718
348,26,23,0.884615385
349,29,24,0.827586207
350,28,19,0.678571429
351,34,26,0.764705882
352,30,17,0.566666667
353,44,25,0.568181818
354,37,29,0.783783784
355,50,36,0.72
356,41,37,0.902439024
357,15,12,0.8
358,15,13,0.866666667
359,7,7,1
360,9,9,1
361,13,12,0.923076923
362,24,22,0.916666667
363,16,14,0.875
364,14,13,0.928571429
365,20,18,0.9
366,21,18,0.857142857
367,15,10,0.666666667
368,39,20,0.512820513
369,40,10,0.25
370,18,3,0.166666667
371,39,21,0.538461538
372,40,33,0.825
373,42,35,0.833333333
374,23,15,0.652173913
375,17,14,0.823529412
376,32,25,0.78125
377,11,11,1
378,14,11,0.785714286
379,18,16,0.888888889
380,3,2,0.666666667
381,0,0,.
382,24,20,0.833333333
383,21,15,0.714285714
384,20,16,0.8
385,16,15,0.9375
386,12,9,0.75
387,8,8,1
388,22,18,0.818181818
389,30,22,0.733333333
390,15,11,0.733333333
391,13,10,0.769230769
392,8,7,0.875
393,25,19,0.76
394,6,6,1
395,5,3,0.6
396,10,7,0.7
397,3,3,1
398,10,9,0.9
399,9,9,1
400,9,9,1
401,6,5,0.833333333
402,6,5,0.833333333
403,9,8,0.888888889
404,7,2,0.285714286
405,11,9,0.818181818
406,15,14,0.933333333
407,6,5,0.833333333
408,7,7,1
409,20,18,0.9
410,21,19,0.904761905
411,11,10,0.909090909
412,26,22,0.846153846
413,6,3,0.5
414,15,13,0.866666667
415,19,18,0.947368421
416,25,21,0.84
417,7,5,0.714285714
418,16,15,0.9375
419,15,7,0.466666667
420,7,6,0.857142857
421,18,17,0.944444444
422,9,6,0.666666667
423,19,13,0.684210526
424,10,8,0.8
425,13,12,0.923076923
426,6,6,1
427,14,9,0.642857143
428,9,9,1
429,24,19,0.791666667
430,3,3,1
431,1,1,1
432,6,5,0.833333333
433,3,1,0.333333333
434,11,10,0.909090909
435,7,5,0.714285714
436,13,10,0.769230769
437,5,5,1
438,12,10,0.833333333
439,21,19,0.904761905
440,21,14,0.666666667
441,11,10,0.909090909
442,21,19,0.904761905
443,23,23,1
444,2,2,1
445,20,16,0.8
446,23,20,0.869565217
447,17,16,0.941176471
448,8,8,1
449,13,9,0.692307692
450,8,6,0.75
451,24,20,0.833333333
452,12,12,1
453,2,2,1
454,11,9,0.818181818
455,10,9,0.9
456,17,15,0.882352941
457,19,17,0.894736842
458,10,8,0.8
459,6,6,1
460,3,3,1
461,12,11,0.916666667
462,3,2,0.666666667
463,9,6,0.666666667
464,12,12,1
465,16,15,0.9375
466,11,11,1
467,8,6,0.75
468,6,6,1
469,12,10,0.833333333
470,13,10,0.769230769
471,11,11,1
472,12,12,1
473,11,10,0.909090909
474,19,19,1
475,17,16,0.941176471
476,18,17,0.944444444
477,17,15,0.882352941
478,12,10,0.833333333
479,24,24,1
480,12,12,1
481,16,15,0.9375
482,13,13,1
483,15,13,0.866666667
484,16,15,0.9375
485,14,13,0.928571429
486,11,9,0.818181818
487,15,13,0.866666667
488,14,10,0.714285714
489,5,4,0.8
490,7,7,1
491,8,7,0.875
492,1,1,1
493,18,16,0.888888889
494,6,6,1
495,16,16,1
496,30,29,0.966666667
497,28,26,0.928571429
498,15,13,0.866666667
499,0,0,.
500,26,24,0.923076923
501,10,8,0.8
502,19,17,0.894736842
503,21,20,0.952380952
504,23,22,0.956521739
505,28,23,0.821428571
506,32,27,0.84375
507,39,35,0.897435897
508,18,17,0.944444444
509,20,19,0.95
510,6,5,0.833333333
511,13,12,0.923076923
512,10,8,0.8
513,32,30,0.9375
514,26,23,0.884615385
515,22,21,0.954545455
516,31,26,0.838709677
517,27,24,0.888888889
518,27,22,0.814814815
519,11,11,1
520,10,10,1
521,4,4,1
522,15,15,1
523,6,6,1
524,13,9,0.692307692
525,6,5,0.833333333
526,13,12,0.923076923
527,1,1,1
528,11,11,1
529,5,5,1
530,8,7,0.875
531,13,12,0.923076923
532,5,5,1
533,14,14,1
534,8,7,0.875
535,21,19,0.904761905
536,21,20,0.952380952
537,18,15,0.833333333
538,5,5,1
539,13,9,0.692307692
540,7,7,1
541,11,10,0.909090909
542,6,5,0.833333333
543,16,13,0.8125
544,26,26,1
545,27,25,0.925925926
546,11,10,0.909090909
547,16,13,0.8125
548,22,20,0.909090909
549,24,23,0.958333333
550,12,9,0.75
551,13,12,0.923076923
552,22,22,1
553,15,14,0.933333333
554,10,9,0.9
555,14,14,1
556,25,23,0.92
557,14,12,0.857142857
558,1,1,1
559,15,12,0.8
560,4,3,0.75
561,8,7,0.875
562,9,7,0.777777778
563,13,8,0.615384615
564,21,21,1
565,10,9,0.9
566,17,16,0.941176471
567,8,7,0.875
568,16,14,0.875
569,14,14,1
570,8,7,0.875
571,6,6,1
572,22,20,0.909090909
573,20,20,1
574,13,12,0.923076923
575,14,12,0.857142857
576,1,1,1
577,6,6,1
578,11,10,0.909090909
579,5,5,1
580,23,21,0.913043478
581,17,16,0.941176471
582,23,21,0.913043478
583,21,19,0.904761905
584,9,9,1
585,12,11,0.916666667
586,15,12,0.8
587,9,9,1
