Definition: ,Percentage of secondary school age children attending secondary school,,,,,,
Denominator,De facto household population of secondary school age,,,,,,
,,,,,,,
Average:,0.424318678,,National Weighted Average,,42.27,Statcompiler,48.8
,,,,,,,
,,,,,,,
hv001,secondaryage,NARsecondary,,,,,
1,3,0,0,,,,
2,0,0,.,,,,
3,2,0,0,,,,
4,2,1,0.5,,,,
5,1,1,1,,,,
6,4,1,0.25,,,,
7,3,2,0.666666667,,,,
8,1,0,0,,,,
9,7,4,0.571428571,,,,
10,3,2,0.666666667,,,,
11,6,0,0,,,,
12,11,6,0.545454545,,,,
13,6,3,0.5,,,,
14,6,2,0.333333333,,,,
15,12,8,0.666666667,,,,
16,6,3,0.5,,,,
17,2,2,1,,,,
18,4,2,0.5,,,,
19,6,4,0.666666667,,,,
20,4,1,0.25,,,,
21,5,1,0.2,,,,
22,7,4,0.571428571,,,,
23,2,1,0.5,,,,
24,0,0,.,,,,
25,3,1,0.333333333,,,,
26,3,1,0.333333333,,,,
27,10,4,0.4,,,,
28,5,2,0.4,,,,
29,2,1,0.5,,,,
30,6,5,0.833333333,,,,
31,1,0,0,,,,
32,1,0,0,,,,
33,6,3,0.5,,,,
34,5,1,0.2,,,,
35,5,2,0.4,,,,
36,8,1,0.125,,,,
37,4,0,0,,,,
38,8,4,0.5,,,,
39,5,2,0.4,,,,
40,6,1,0.166666667,,,,
41,13,1,0.076923077,,,,
42,18,5,0.277777778,,,,
43,6,0,0,,,,
44,15,2,0.133333333,,,,
45,6,1,0.166666667,,,,
46,20,3,0.15,,,,
47,11,0,0,,,,
48,15,0,0,,,,
49,3,0,0,,,,
50,13,1,0.076923077,,,,
51,7,3,0.428571429,,,,
52,10,1,0.1,,,,
53,11,0,0,,,,
54,7,2,0.285714286,,,,
55,15,6,0.4,,,,
56,8,3,0.375,,,,
57,5,2,0.4,,,,
58,4,2,0.5,,,,
59,1,1,1,,,,
60,4,0,0,,,,
61,4,1,0.25,,,,
62,6,3,0.5,,,,
63,3,1,0.333333333,,,,
64,7,1,0.142857143,,,,
65,19,2,0.105263158,,,,
66,13,6,0.461538462,,,,
67,3,1,0.333333333,,,,
68,16,4,0.25,,,,
69,16,0,0,,,,
70,8,1,0.125,,,,
71,3,1,0.333333333,,,,
72,19,1,0.052631579,,,,
73,3,0,0,,,,
74,9,0,0,,,,
75,5,0,0,,,,
76,28,3,0.107142857,,,,
77,17,3,0.176470588,,,,
78,13,3,0.230769231,,,,
79,19,2,0.105263158,,,,
80,8,3,0.375,,,,
81,9,4,0.444444444,,,,
82,8,0,0,,,,
83,13,3,0.230769231,,,,
84,10,0,0,,,,
85,6,1,0.166666667,,,,
86,3,0,0,,,,
87,8,1,0.125,,,,
88,3,0,0,,,,
89,4,0,0,,,,
90,3,0,0,,,,
91,9,0,0,,,,
92,0,0,.,,,,
93,4,1,0.25,,,,
94,0,0,.,,,,
95,6,3,0.5,,,,
96,13,3,0.230769231,,,,
97,19,1,0.052631579,,,,
98,19,0,0,,,,
99,19,1,0.052631579,,,,
100,3,0,0,,,,
101,2,1,0.5,,,,
102,0,0,.,,,,
103,4,2,0.5,,,,
104,14,4,0.285714286,,,,
105,8,5,0.625,,,,
