hv001,nonflaggedchildren,stuntedchildren,
1,10,4,0.4
2,9,4,0.444444444
3,7,1,0.142857143
4,2,1,0.5
5,3,0,0
6,9,1,0.111111111
7,4,0,0
8,11,3,0.272727273
9,5,1,0.2
10,9,2,0.222222222
11,11,1,0.090909091
12,6,5,0.833333333
13,7,2,0.285714286
14,3,0,0
15,4,0,0
16,3,0,0
17,7,0,0
18,18,2,0.111111111
19,3,1,0.333333333
20,9,3,0.333333333
21,8,1,0.125
22,12,0,0
23,9,1,0.111111111
24,10,4,0.4
25,11,1,0.090909091
26,6,1,0.166666667
27,17,2,0.117647059
28,9,0,0
29,10,0,0
30,10,4,0.4
31,3,0,0
32,8,1,0.125
33,6,0,0
34,3,1,0.333333333
35,2,0,0
36,10,5,0.5
37,8,1,0.125
38,7,0,0
39,4,1,0.25
40,15,1,0.066666667
41,14,1,0.071428571
42,9,1,0.111111111
43,7,0,0
44,8,1,0.125
45,7,4,0.571428571
46,12,0,0
47,6,0,0
48,11,2,0.181818182
49,4,1,0.25
50,11,4,0.363636364
51,9,0,0
52,21,9,0.428571429
53,8,2,0.25
54,4,1,0.25
55,6,0,0
56,4,0,0
57,5,0,0
58,5,1,0.2
59,8,2,0.25
60,5,0,0
61,9,1,0.111111111
62,7,4,0.571428571
63,13,5,0.384615385
64,11,3,0.272727273
65,14,3,0.214285714
66,12,2,0.166666667
67,9,2,0.222222222
68,7,5,0.714285714
69,15,5,0.333333333
70,5,2,0.4
71,12,0,0
72,10,1,0.1
73,11,2,0.181818182
74,5,3,0.6
75,12,5,0.416666667
76,12,5,0.416666667
77,18,6,0.333333333
78,8,1,0.125
79,6,3,0.5
80,11,1,0.090909091
81,7,0,0
82,8,2,0.25
83,7,3,0.428571429
84,8,2,0.25
85,3,1,0.333333333
86,10,3,0.3
87,11,1,0.090909091
88,16,7,0.4375
89,7,2,0.285714286
90,11,0,0
91,7,2,0.285714286
92,8,1,0.125
93,8,1,0.125
94,5,0,0
95,15,2,0.133333333
96,11,4,0.363636364
97,14,1,0.071428571
98,12,2,0.166666667
99,12,3,0.25
100,4,0,0
101,6,1,0.166666667
102,9,1,0.111111111
103,2,2,1
104,8,0,0
105,5,1,0.2
106,5,0,0
107,8,1,0.125
108,9,1,0.111111111
109,8,1,0.125
110,7,2,0.285714286
111,9,1,0.111111111
112,9,3,0.333333333
113,8,1,0.125
114,9,0,0
115,9,4,0.444444444
116,12,5,0.416666667
117,9,1,0.111111111
118,17,1,0.058823529
119,3,0,0
120,4,1,0.25
121,6,1,0.166666667
122,10,0,0
123,12,4,0.333333333
124,4,1,0.25
125,8,0,0
126,11,1,0.090909091
127,6,2,0.333333333
128,7,2,0.285714286
129,9,2,0.222222222
130,2,1,0.5
131,4,2,0.5
132,4,0,0
133,10,2,0.2
134,2,0,0
135,10,1,0.1
136,8,2,0.25
137,8,1,0.125
138,4,0,0
139,8,3,0.375
140,4,1,0.25
141,8,1,0.125
142,6,0,0
143,4,0,0
144,5,1,0.2
145,7,2,0.285714286
146,5,1,0.2
147,6,1,0.166666667
148,6,1,0.166666667
149,8,1,0.125
150,10,3,0.3
151,5,0,0
152,6,0,0
153,6,2,0.333333333
154,10,3,0.3
155,5,0,0
156,10,5,0.5
157,8,0,0
158,6,0,0
159,5,0,0
160,6,0,0
161,5,0,0
162,6,1,0.166666667
163,7,3,0.428571429
164,6,1,0.166666667
165,7,1,0.142857143
166,6,2,0.333333333
167,10,3,0.3
168,6,0,0
169,8,0,0
170,2,1,0.5
171,7,0,0
172,12,1,0.083333333
173,11,3,0.272727273
174,11,2,0.181818182
175,6,1,0.166666667
176,12,1,0.083333333
177,2,2,1
178,4,1,0.25
179,12,5,0.416666667
180,8,4,0.5
181,7,0,0
182,16,1,0.0625
183,4,1,0.25
184,6,2,0.333333333
185,8,1,0.125
186,18,7,0.388888889
187,14,1,0.071428571
188,11,3,0.272727273
189,7,1,0.142857143
190,7,2,0.285714286
191,8,2,0.25
192,6,1,0.166666667
193,7,1,0.142857143
194,8,0,0
195,6,1,0.166666667
196,3,0,0
197,10,0,0
198,8,2,0.25
199,13,6,0.461538462
200,12,2,0.166666667
201,8,1,0.125
202,6,0,0
203,13,3,0.230769231
204,6,2,0.333333333
205,5,2,0.4
206,11,4,0.363636364
207,5,0,0
208,7,1,0.142857143
209,6,0,0
210,10,1,0.1
211,9,2,0.222222222
212,5,0,0
213,8,0,0
214,9,3,0.333333333
215,12,7,0.583333333
216,4,1,0.25
217,6,0,0
218,2,0,0
219,2,1,0.5
220,9,1,0.111111111
221,11,1,0.090909091
222,10,1,0.1
223,2,0,0
224,16,2,0.125
225,7,0,0
226,6,0,0
227,7,2,0.285714286
228,7,1,0.142857143
229,5,0,0
230,10,5,0.5
231,9,2,0.222222222
232,2,0,0
233,11,2,0.181818182
234,10,0,0
235,12,6,0.5
236,7,2,0.285714286
237,15,2,0.133333333
238,4,0,0
239,6,0,0
240,7,0,0
241,5,3,0.6
242,9,4,0.444444444
243,8,0,0
244,8,1,0.125
245,13,1,0.076923077
246,5,1,0.2
247,8,0,0
248,17,6,0.352941176
249,5,0,0
250,2,1,0.5
251,7,1,0.142857143
252,8,2,0.25
253,4,0,0
254,6,0,0
255,8,2,0.25
256,11,3,0.272727273
257,7,1,0.142857143
258,6,2,0.333333333
259,6,1,0.166666667
260,13,5,0.384615385
261,12,5,0.416666667
262,3,1,0.333333333
263,7,1,0.142857143
264,11,1,0.090909091
265,7,1,0.142857143
266,7,1,0.142857143
267,5,0,0
268,6,0,0
269,17,4,0.235294118
270,17,4,0.235294118
271,17,4,0.235294118
272,9,4,0.444444444
273,5,3,0.6
274,22,6,0.272727273
275,15,4,0.266666667
276,17,4,0.235294118
277,25,8,0.32
278,16,9,0.5625
279,14,4,0.285714286
280,25,9,0.36
281,34,14,0.411764706
282,11,5,0.454545455
283,14,4,0.285714286
284,9,1,0.111111111
285,9,0,0
286,6,0,0
287,5,0,0
288,7,3,0.428571429
289,4,1,0.25
290,2,0,0
291,2,0,0
292,12,3,0.25
293,24,7,0.291666667
294,11,2,0.181818182
295,8,3,0.375
296,21,10,0.476190476
297,24,6,0.25
298,4,0,0
299,18,3,0.166666667
300,18,10,0.555555556
301,16,8,0.5
302,14,6,0.428571429
303,9,1,0.111111111
304,6,2,0.333333333
305,5,1,0.2
306,7,2,0.285714286
307,4,0,0
308,28,13,0.464285714
309,4,0,0
310,18,8,0.444444444
311,22,9,0.409090909
312,33,20,0.606060606
313,30,14,0.466666667
314,13,7,0.538461538
315,12,3,0.25
316,16,4,0.25
317,21,6,0.285714286
318,17,6,0.352941176
319,6,1,0.166666667
320,3,1,0.333333333
321,17,8,0.470588235
322,26,12,0.461538462
323,10,2,0.2
324,9,3,0.333333333
325,9,1,0.111111111
326,6,1,0.166666667
327,10,1,0.1
328,22,10,0.454545455
329,18,3,0.166666667
330,26,10,0.384615385
331,36,12,0.333333333
332,29,8,0.275862069
333,21,10,0.476190476
334,35,21,0.6
335,11,0,0
336,24,11,0.458333333
338,13,2,0.153846154
339,14,5,0.357142857
340,25,7,0.28
341,20,9,0.45
342,19,4,0.210526316
343,22,9,0.409090909
344,36,18,0.5
345,11,4,0.363636364
346,30,8,0.266666667
347,23,8,0.347826087
348,9,2,0.222222222
349,13,1,0.076923077
350,12,2,0.166666667
351,5,1,0.2
352,11,4,0.363636364
353,25,7,0.28
354,28,7,0.25
355,22,7,0.318181818
356,19,9,0.473684211
357,17,5,0.294117647
358,24,7,0.291666667
359,19,4,0.210526316
360,29,16,0.551724138
361,22,13,0.590909091
362,34,17,0.5
363,17,2,0.117647059
364,32,10,0.3125
365,17,1,0.058823529
366,12,4,0.333333333
367,19,3,0.157894737
368,5,1,0.2
369,13,5,0.384615385
370,9,0,0
371,13,3,0.230769231
372,9,3,0.333333333
373,9,5,0.555555556
374,8,4,0.5
375,15,3,0.2
376,7,0,0
377,6,2,0.333333333
378,6,2,0.333333333
379,3,1,0.333333333
380,5,0,0
381,12,4,0.333333333
382,5,1,0.2
383,13,3,0.230769231
384,7,1,0.142857143
385,7,2,0.285714286
386,9,6,0.666666667
387,7,0,0
388,10,2,0.2
389,10,2,0.2
390,7,1,0.142857143
391,16,2,0.125
392,8,1,0.125
393,21,10,0.476190476
394,27,5,0.185185185
395,16,5,0.3125
396,13,8,0.615384615
397,20,7,0.35
398,11,5,0.454545455
399,9,0,0
400,5,3,0.6
401,4,0,0
402,6,1,0.166666667
403,6,1,0.166666667
404,8,3,0.375
405,2,0,0
406,13,2,0.153846154
407,13,2,0.153846154
408,12,3,0.25
409,11,5,0.454545455
410,6,2,0.333333333
411,18,4,0.222222222
412,14,7,0.5
413,11,1,0.090909091
414,7,1,0.142857143
415,12,5,0.416666667
416,12,3,0.25
417,3,1,0.333333333
418,10,3,0.3
419,12,1,0.083333333
420,14,2,0.142857143
421,6,1,0.166666667
422,6,2,0.333333333
423,0,0,.
424,7,3,0.428571429
425,8,2,0.25
426,4,0,0
427,12,4,0.333333333
428,13,3,0.230769231
429,9,1,0.111111111
430,19,6,0.315789474
431,11,4,0.363636364
432,12,1,0.083333333
433,11,0,0
434,12,1,0.083333333
435,12,3,0.25
436,17,0,0
437,19,6,0.315789474
438,14,5,0.357142857
439,16,3,0.1875
440,10,3,0.3
441,7,1,0.142857143
442,10,3,0.3
443,14,4,0.285714286
444,8,2,0.25
445,23,8,0.347826087
446,16,4,0.25
447,27,8,0.296296296
448,11,1,0.090909091
449,14,7,0.5
450,18,5,0.277777778
451,26,8,0.307692308
452,9,2,0.222222222
453,7,2,0.285714286
454,13,2,0.153846154
455,8,3,0.375
456,4,1,0.25
457,10,1,0.1
458,14,3,0.214285714
459,18,7,0.388888889
460,14,3,0.214285714
461,4,0,0
462,28,10,0.357142857
463,16,3,0.1875
464,15,3,0.2
465,19,3,0.157894737
466,9,2,0.222222222
467,6,0,0
468,4,2,0.5
469,14,1,0.071428571
470,20,2,0.1
471,18,2,0.111111111
472,18,3,0.166666667
473,13,3,0.230769231
474,9,3,0.333333333
475,15,0,0
476,16,0,0
477,32,8,0.25
478,13,3,0.230769231
479,26,10,0.384615385
480,14,4,0.285714286
481,18,7,0.388888889
482,17,2,0.117647059
483,17,5,0.294117647
484,17,5,0.294117647
485,22,7,0.318181818
486,15,1,0.066666667
487,22,3,0.136363636
489,19,5,0.263157895
490,13,2,0.153846154
491,20,1,0.05
492,19,4,0.210526316
493,19,1,0.052631579
494,10,3,0.3
495,10,2,0.2
496,2,0,0
497,4,2,0.5
498,8,3,0.375
499,9,2,0.222222222
500,8,1,0.125
501,7,0,0
502,11,2,0.181818182
503,9,1,0.111111111
504,8,1,0.125
505,6,0,0
506,5,0,0
507,7,1,0.142857143
508,9,3,0.333333333
509,5,1,0.2
510,8,0,0
511,5,1,0.2
512,7,0,0
513,8,3,0.375
514,7,3,0.428571429
515,9,1,0.111111111
516,19,11,0.578947368
517,12,5,0.416666667
518,11,5,0.454545455
519,13,5,0.384615385
520,8,2,0.25
521,10,5,0.5
522,8,2,0.25
523,11,2,0.181818182
524,11,5,0.454545455
525,9,1,0.111111111
526,15,3,0.2
527,5,1,0.2
528,10,1,0.1
529,5,2,0.4
530,11,2,0.181818182
531,9,2,0.222222222
532,4,1,0.25
533,5,3,0.6
534,2,1,0.5
535,5,0,0
536,5,1,0.2
537,8,3,0.375
538,11,4,0.363636364
539,12,3,0.25
540,8,1,0.125
541,8,5,0.625
542,7,0,0
543,9,4,0.444444444
544,11,6,0.545454545
545,8,3,0.375
546,11,4,0.363636364
547,11,3,0.272727273
548,6,0,0
549,6,2,0.333333333
550,4,1,0.25
551,3,1,0.333333333
552,6,0,0
553,7,2,0.285714286
554,2,1,0.5
555,8,6,0.75
556,8,2,0.25
557,17,6,0.352941176
558,11,5,0.454545455
559,15,5,0.333333333
560,11,5,0.454545455
561,16,5,0.3125
562,14,5,0.357142857
563,10,2,0.2
564,3,1,0.333333333
565,8,3,0.375
566,10,1,0.1
567,6,0,0
568,10,2,0.2
569,4,2,0.5
570,5,1,0.2
571,7,1,0.142857143
572,7,1,0.142857143
573,9,1,0.111111111
574,5,0,0
575,7,2,0.285714286
576,6,1,0.166666667
577,10,4,0.4
578,10,2,0.2
579,9,1,0.111111111
580,10,3,0.3
581,7,3,0.428571429
582,11,1,0.090909091
583,6,1,0.166666667
584,3,0,0
585,7,2,0.285714286
586,9,1,0.111111111
587,8,3,0.375
588,18,4,0.222222222
589,14,3,0.214285714
590,8,2,0.25
591,8,3,0.375
592,7,3,0.428571429
593,12,6,0.5
594,15,10,0.666666667
595,8,3,0.375
596,7,2,0.285714286
597,15,8,0.533333333
598,13,8,0.615384615
599,7,4,0.571428571
600,7,3,0.428571429
601,14,6,0.428571429
602,10,5,0.5
603,12,8,0.666666667
604,6,1,0.166666667
605,17,9,0.529411765
606,26,13,0.5
607,15,6,0.4
608,11,3,0.272727273
609,9,5,0.555555556
610,13,3,0.230769231
611,5,0,0
612,11,5,0.454545455
613,1,0,0
614,16,6,0.375
615,19,8,0.421052632
616,29,14,0.482758621
617,25,19,0.76
618,9,1,0.111111111
619,3,1,0.333333333
620,10,3,0.3
621,12,5,0.416666667
622,15,7,0.466666667
623,10,3,0.3
624,13,7,0.538461538
625,18,11,0.611111111
626,13,6,0.461538462
627,29,13,0.448275862
628,15,9,0.6
629,14,2,0.142857143
630,3,1,0.333333333
631,11,1,0.090909091
632,10,2,0.2
633,6,2,0.333333333
634,14,3,0.214285714
635,9,2,0.222222222
636,13,0,0
637,9,2,0.222222222
638,17,4,0.235294118
639,9,1,0.111111111
640,7,3,0.428571429
641,4,2,0.5
642,14,6,0.428571429
643,12,3,0.25
644,9,3,0.333333333
645,16,5,0.3125
646,14,3,0.214285714
647,10,2,0.2
648,11,5,0.454545455
649,16,1,0.0625
650,22,8,0.363636364
651,10,4,0.4
652,12,3,0.25
653,12,0,0
654,9,3,0.333333333
655,11,4,0.363636364
656,8,4,0.5
657,9,1,0.111111111
658,11,4,0.363636364
659,15,3,0.2
660,5,2,0.4
661,13,3,0.230769231
662,14,6,0.428571429
663,6,2,0.333333333
664,9,1,0.111111111
665,16,10,0.625
666,12,5,0.416666667
667,10,2,0.2
668,19,4,0.210526316
669,14,4,0.285714286
670,3,1,0.333333333
671,8,2,0.25
672,7,0,0
673,16,7,0.4375
674,12,3,0.25
675,11,2,0.181818182
676,14,7,0.5
677,14,8,0.571428571
678,9,1,0.111111111
679,13,5,0.384615385
680,11,6,0.545454545
681,21,5,0.238095238
682,18,4,0.222222222
683,6,1,0.166666667
684,14,3,0.214285714
685,23,7,0.304347826
686,12,2,0.166666667
687,8,1,0.125
688,7,1,0.142857143
689,9,1,0.111111111
690,16,3,0.1875
691,22,8,0.363636364
692,14,3,0.214285714
693,10,3,0.3
694,13,2,0.153846154
695,7,2,0.285714286
696,16,1,0.0625
697,14,1,0.071428571
698,6,0,0
699,7,1,0.142857143
700,9,0,0
