Average,0.16437998,Weighted national average,,17.57,StatCompiler,17.6
,,,,,,
,,,,,,
,,,,,,
hv001,nonflaggedchildren,stuntedchildren,,,,
1,9,0,0,,,
2,5,0,0,,,
3,5,1,0.2,,,
4,7,0,0,,,
5,13,1,0.076923077,,,
6,14,4,0.285714286,,,
7,4,0,0,,,
8,6,1,0.166666667,,,
9,6,1,0.166666667,,,
10,5,2,0.4,,,
11,12,1,0.083333333,,,
12,16,2,0.125,,,
13,12,1,0.083333333,,,
14,9,1,0.111111111,,,
15,11,2,0.181818182,,,
16,11,3,0.272727273,,,
17,7,0,0,,,
18,7,0,0,,,
19,12,1,0.083333333,,,
20,6,0,0,,,
21,7,2,0.285714286,,,
22,8,1,0.125,,,
23,8,3,0.375,,,
24,8,1,0.125,,,
25,8,2,0.25,,,
26,3,0,0,,,
27,12,2,0.166666667,,,
28,20,4,0.2,,,
29,8,0,0,,,
30,8,1,0.125,,,
31,3,0,0,,,
32,7,1,0.142857143,,,
33,11,0,0,,,
34,3,0,0,,,
35,5,0,0,,,
36,15,3,0.2,,,
37,8,0,0,,,
38,13,0,0,,,
39,5,2,0.4,,,
40,10,0,0,,,
41,20,6,0.3,,,
42,15,1,0.066666667,,,
43,27,12,0.444444444,,,
44,22,5,0.227272727,,,
45,8,2,0.25,,,
46,18,3,0.166666667,,,
47,24,14,0.583333333,,,
48,25,3,0.12,,,
49,4,0,0,,,
50,28,10,0.357142857,,,
51,9,2,0.222222222,,,
52,14,1,0.071428571,,,
53,17,7,0.411764706,,,
54,14,0,0,,,
55,10,3,0.3,,,
56,10,1,0.1,,,
57,1,0,0,,,
58,7,1,0.142857143,,,
59,7,1,0.142857143,,,
60,6,0,0,,,
61,6,3,0.5,,,
62,10,3,0.3,,,
63,5,0,0,,,
64,8,0,0,,,
65,15,1,0.066666667,,,
66,8,2,0.25,,,
67,9,2,0.222222222,,,
68,16,6,0.375,,,
69,22,6,0.272727273,,,
70,13,2,0.153846154,,,
71,10,0,0,,,
72,23,2,0.086956522,,,
73,8,4,0.5,,,
74,15,7,0.466666667,,,
75,15,9,0.6,,,
76,21,12,0.571428571,,,
77,15,6,0.4,,,
78,12,5,0.416666667,,,
79,15,7,0.466666667,,,
80,7,2,0.285714286,,,
81,5,3,0.6,,,
82,16,7,0.4375,,,
83,9,1,0.111111111,,,
84,12,7,0.583333333,,,
85,10,2,0.2,,,
86,3,1,0.333333333,,,
87,6,1,0.166666667,,,
88,9,4,0.444444444,,,
89,18,9,0.5,,,
90,4,1,0.25,,,
91,14,4,0.285714286,,,
92,11,1,0.090909091,,,
93,6,1,0.166666667,,,
94,4,0,0,,,
95,3,0,0,,,
96,10,2,0.2,,,
97,27,13,0.481481481,,,
98,29,11,0.379310345,,,
99,20,4,0.2,,,
100,12,8,0.666666667,,,
101,11,2,0.181818182,,,
102,6,2,0.333333333,,,
103,6,0,0,,,
104,14,3,0.214285714,,,
105,7,0,0,,,
106,4,0,0,,,
107,7,2,0.285714286,,,
108,1,0,0,,,
109,16,4,0.25,,,
110,10,3,0.3,,,
111,13,1,0.076923077,,,
112,22,8,0.363636364,,,
113,23,4,0.173913043,,,
114,14,2,0.142857143,,,
