v001,allteenagers,teenagepregnancy,
1,1,0,0
2,2,1,0.5
3,1,0,0
4,0,0,.
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,4,1,0.25
10,4,1,0.25
11,3,2,0.666666667
12,3,1,0.333333333
13,1,0,0
14,2,0,0
15,1,0,0
16,1,0,0
17,2,2,1
18,4,1,0.25
19,0,0,.
20,0,0,.
21,2,0,0
22,5,2,0.4
23,2,0,0
24,2,0,0
25,2,0,0
26,0,0,.
27,3,2,0.666666667
28,8,0,0
29,3,1,0.333333333
30,3,0,0
31,2,0,0
32,2,0,0
33,0,0,.
34,3,0,0
35,0,0,.
36,2,0,0
37,1,0,0
38,2,0,0
39,4,2,0.5
40,2,0,0
41,0,0,.
42,2,1,0.5
43,1,1,1
44,0,0,.
45,2,0,0
46,3,0,0
47,4,0,0
48,1,0,0
49,3,0,0
50,3,0,0
51,7,0,0
52,5,4,0.8
53,6,0,0
54,3,0,0
55,3,0,0
56,1,0,0
57,3,1,0.333333333
58,2,0,0
59,6,0,0
60,2,0,0
61,1,1,1
62,1,0,0
63,0,0,.
64,3,0,0
65,2,0,0
66,1,0,0
67,2,0,0
68,1,0,0
69,4,0,0
70,5,0,0
71,3,0,0
72,4,1,0.25
73,3,0,0
74,4,0,0
75,4,1,0.25
76,4,1,0.25
77,2,0,0
78,1,0,0
79,3,0,0
80,3,1,0.333333333
81,1,0,0
82,2,0,0
83,1,0,0
84,0,0,.
85,4,0,0
86,4,0,0
87,1,0,0
88,4,1,0.25
89,4,0,0
90,3,0,0
91,3,0,0
92,3,1,0.333333333
93,1,0,0
94,4,0,0
95,2,0,0
96,5,2,0.4
97,1,0,0
98,1,0,0
99,3,0,0
100,1,0,0
101,6,0,0
102,6,0,0
103,2,0,0
104,3,0,0
105,2,0,0
106,3,0,0
107,4,0,0
108,1,0,0
109,3,0,0
110,2,0,0
111,5,1,0.2
112,4,1,0.25
113,4,1,0.25
114,2,0,0
115,4,0,0
116,2,1,0.5
117,5,0,0
118,4,1,0.25
119,2,0,0
120,4,0,0
121,1,0,0
122,3,0,0
123,5,0,0
124,1,0,0
125,4,0,0
126,3,2,0.666666667
127,0,0,.
128,3,0,0
129,3,1,0.333333333
130,2,1,0.5
131,3,0,0
132,2,0,0
133,1,0,0
134,0,0,.
135,0,0,.
136,1,0,0
137,1,0,0
138,1,0,0
139,4,0,0
140,0,0,.
141,5,1,0.2
142,3,0,0
143,4,0,0
144,3,0,0
145,2,0,0
146,1,1,1
147,3,0,0
148,3,0,0
149,2,0,0
150,4,0,0
151,5,0,0
152,2,0,0
153,4,1,0.25
154,2,0,0
155,1,0,0
156,1,1,1
157,1,0,0
158,0,0,.
159,5,1,0.2
160,4,1,0.25
161,3,0,0
162,1,0,0
163,2,0,0
164,4,0,0
165,2,0,0
166,7,0,0
167,1,0,0
168,3,0,0
169,1,0,0
170,2,0,0
171,3,1,0.333333333
172,2,0,0
173,4,0,0
174,4,0,0
175,8,0,0
176,6,0,0
177,0,0,.
178,1,1,1
179,5,0,0
180,5,1,0.2
181,1,0,0
182,3,0,0
183,4,0,0
184,2,0,0
185,5,1,0.2
186,3,0,0
187,5,0,0
188,3,0,0
189,5,0,0
190,5,1,0.2
191,3,0,0
192,6,0,0
193,2,0,0
194,3,0,0
195,5,0,0
196,0,0,.
197,3,0,0
198,0,0,.
199,8,1,0.125
200,3,1,0.333333333
201,4,0,0
202,5,1,0.2
203,0,0,.
204,0,0,.
205,2,1,0.5
206,2,1,0.5
207,0,0,.
208,10,0,0
209,1,0,0
210,0,0,.
211,0,0,.
212,8,0,0
213,3,0,0
214,4,0,0
215,2,0,0
216,2,0,0
217,1,0,0
218,4,0,0
219,2,2,1
220,4,3,0.75
221,2,0,0
222,1,0,0
223,1,0,0
224,1,1,1
225,0,0,.
226,1,0,0
227,4,0,0
228,4,1,0.25
229,3,0,0
230,2,0,0
231,2,0,0
232,1,0,0
233,2,0,0
234,2,1,0.5
235,2,0,0
236,6,0,0
237,13,0,0
238,1,0,0
239,3,1,0.333333333
240,5,0,0
241,2,0,0
242,3,1,0.333333333
243,3,1,0.333333333
244,2,0,0
245,5,0,0
246,1,0,0
247,1,0,0
248,4,1,0.25
