Cluster,allteenagers,teenagepregnancy,
1,1,0,0
2,0,0,.
3,1,0,0
4,2,0,0
5,0,0,.
6,1,0,0
7,2,0,0
8,1,0,0
9,3,0,0
10,1,0,0
11,5,1,0.2
12,4,0,0
13,7,0,0
14,2,0,0
15,8,1,0.125
16,2,0,0
17,2,0,0
18,3,0,0
19,1,0,0
20,4,1,0.25
21,2,0,0
22,5,0,0
23,1,0,0
24,1,0,0
25,2,1,0.5
26,3,0,0
27,7,2,0.285714286
28,4,1,0.25
29,4,0,0
30,5,0,0
31,3,0,0
32,0,0,.
33,4,1,0.25
34,4,0,0
35,3,1,0.333333333
36,4,0,0
37,1,0,0
38,4,0,0
39,4,0,0
40,3,1,0.333333333
41,8,1,0.125
42,2,0,0
43,2,2,1
44,4,1,0.25
45,0,0,.
46,7,2,0.285714286
47,7,3,0.428571429
48,9,0,0
49,1,0,0
50,7,1,0.142857143
51,7,1,0.142857143
52,5,0,0
53,7,1,0.142857143
54,5,0,0
55,6,2,0.333333333
56,7,1,0.142857143
57,1,0,0
58,6,1,0.166666667
59,2,0,0
60,4,1,0.25
61,3,0,0
62,4,0,0
63,2,0,0
64,3,1,0.333333333
65,12,1,0.083333333
66,6,0,0
67,2,0,0
68,12,0,0
69,3,0,0
70,5,0,0
71,3,1,0.333333333
72,6,2,0.333333333
73,2,1,0.5
74,6,2,0.333333333
75,4,2,0.5
76,14,0,0
77,4,0,0
78,8,0,0
79,6,0,0
80,5,0,0
81,0,0,.
82,1,0,0
83,7,0,0
84,5,0,0
85,4,1,0.25
86,0,0,.
87,2,0,0
88,3,0,0
89,2,0,0
90,2,1,0.5
91,6,2,0.333333333
92,1,0,0
93,3,0,0
94,1,0,0
95,3,0,0
96,8,0,0
97,11,3,0.272727273
98,11,2,0.181818182
99,12,2,0.166666667
100,5,2,0.4
101,0,0,.
102,1,0,0
103,1,0,0
104,12,3,0.25
105,6,0,0
106,3,0,0
107,2,1,0.5
108,1,0,0
109,3,0,0
110,8,0,0
111,4,0,0
112,3,0,0
113,2,0,0
114,4,0,0
115,5,1,0.2
116,6,2,0.333333333
117,7,0,0
118,6,0,0
119,0,0,.
120,6,0,0
121,2,1,0.5
122,3,0,0
123,2,0,0
124,4,1,0.25
125,2,0,0
126,0,0,.
127,4,1,0.25
128,5,1,0.2
129,1,0,0
130,3,2,0.666666667
131,4,2,0.5
132,5,2,0.4
133,3,1,0.333333333
134,1,0,0
135,5,1,0.2
136,3,1,0.333333333
137,2,0,0
138,3,1,0.333333333
139,7,0,0
140,1,1,1
141,4,0,0
142,2,1,0.5
143,3,0,0
144,4,0,0
145,3,0,0
146,9,0,0
147,10,1,0.1
148,11,1,0.090909091
149,7,2,0.285714286
150,3,1,0.333333333
151,4,0,0
152,7,1,0.142857143
153,2,0,0
154,8,0,0
155,4,2,0.5
156,3,0,0
157,7,1,0.142857143
158,4,0,0
159,3,0,0
160,5,1,0.2
161,3,0,0
162,6,0,0
163,6,1,0.166666667
164,3,1,0.333333333
165,10,3,0.3
166,4,0,0
167,3,0,0
168,3,1,0.333333333
169,3,0,0
170,3,1,0.333333333
171,2,0,0
172,4,1,0.25
173,9,1,0.111111111
174,3,0,0
175,8,2,0.25
176,2,0,0
177,1,0,0
178,2,1,0.5
179,3,0,0
180,2,1,0.5
181,0,0,.
182,3,1,0.333333333
183,3,1,0.333333333
184,4,0,0
185,1,0,0
186,0,0,.
187,2,1,0.5
188,4,0,0
189,4,2,0.5
190,4,0,0
191,0,0,.
192,1,0,0
193,1,0,0
194,2,1,0.5
195,3,0,0
196,1,1,1
197,1,0,0
198,2,0,0
199,0,0,.
200,5,0,0
201,4,1,0.25
