Definition,Percent distribution of live births and current pregnancies to women in the 3 years preceding the survey by planning status of the pregnancy and percent distribution of all pregnancy outcomes to women in the 3 years preceding the survey by planning status of the pregnancy,,,,,,
Numerator,Live births (m10) and current pregnancies (v225) in the three years preceding the survey according to planning status of the birth,,,,,,
Denominator,"Births in the three years preceding the survey, including current pregnancy (v213 = 1)",,,,,,
,,,,,,,
Average,0.386261466,,Weighted National Average=41.6,,,StatCompiler ,37.40%
,,,,,,,
v001,currentlypregw,unwantedpregnancy,,,,,
1,4,2,0.5,,,,
2,3,0,0,,,,
3,4,0,0,,,,
4,5,3,0.6,,,,
5,5,2,0.4,,,,
6,7,2,0.285714286,,,,
7,3,1,0.333333333,,,,
8,2,1,0.5,,,,
9,8,2,0.25,,,,
10,5,0,0,,,,
11,7,6,0.857142857,,,,
12,9,6,0.666666667,,,,
13,6,2,0.333333333,,,,
14,4,1,0.25,,,,
15,7,3,0.428571429,,,,
16,7,3,0.428571429,,,,
17,6,0,0,,,,
18,7,4,0.571428571,,,,
19,6,2,0.333333333,,,,
20,3,2,0.666666667,,,,
21,7,3,0.428571429,,,,
22,6,3,0.5,,,,
23,7,4,0.571428571,,,,
24,4,2,0.5,,,,
25,5,3,0.6,,,,
26,1,0,0,,,,
27,8,5,0.625,,,,
28,14,3,0.214285714,,,,
29,5,0,0,,,,
30,3,0,0,,,,
31,2,1,0.5,,,,
32,4,2,0.5,,,,
33,7,2,0.285714286,,,,
34,2,0,0,,,,
35,5,4,0.8,,,,
36,11,4,0.363636364,,,,
37,6,3,0.5,,,,
38,6,2,0.333333333,,,,
39,5,1,0.2,,,,
40,6,3,0.5,,,,
41,11,5,0.454545455,,,,
42,8,2,0.25,,,,
43,14,2,0.142857143,,,,
44,12,7,0.583333333,,,,
45,5,3,0.6,,,,
46,8,3,0.375,,,,
47,11,2,0.181818182,,,,
48,12,6,0.5,,,,
49,3,1,0.333333333,,,,
50,11,3,0.272727273,,,,
51,4,2,0.5,,,,
52,6,1,0.166666667,,,,
53,11,3,0.272727273,,,,
54,8,3,0.375,,,,
55,4,0,0,,,,
56,6,2,0.333333333,,,,
57,2,1,0.5,,,,
58,6,2,0.333333333,,,,
59,5,1,0.2,,,,
60,5,3,0.6,,,,
61,2,0,0,,,,
62,6,3,0.5,,,,
63,5,1,0.2,,,,
64,5,1,0.2,,,,
65,9,3,0.333333333,,,,
66,3,1,0.333333333,,,,
67,3,1,0.333333333,,,,
68,7,2,0.285714286,,,,
69,13,4,0.307692308,,,,
70,5,3,0.6,,,,
71,4,1,0.25,,,,
72,14,5,0.357142857,,,,
73,5,3,0.6,,,,
74,10,5,0.5,,,,
75,8,6,0.75,,,,
76,12,6,0.5,,,,
77,7,5,0.714285714,,,,
78,7,5,0.714285714,,,,
79,7,2,0.285714286,,,,
80,5,1,0.2,,,,
81,5,1,0.2,,,,
82,8,2,0.25,,,,
83,5,2,0.4,,,,
84,6,2,0.333333333,,,,
85,8,1,0.125,,,,
86,2,1,0.5,,,,
87,3,2,0.666666667,,,,
88,6,0,0,,,,
89,9,3,0.333333333,,,,
90,5,1,0.2,,,,
91,6,3,0.5,,,,
92,6,0,0,,,,
93,4,1,0.25,,,,
94,2,0,0,,,,
95,1,0,0,,,,
96,4,1,0.25,,,,
97,13,10,0.769230769,,,,
98,14,7,0.5,,,,
99,9,5,0.555555556,,,,
100,7,3,0.428571429,,,,
101,6,0,0,,,,
