hv001,Relevantpop,improvedsanitation,
1,22,19,0.863636364
2,23,19,0.826086957
3,25,21,0.84
4,21,14,0.666666667
5,21,13,0.619047619
6,24,19,0.791666667
7,19,19,1
8,23,14,0.608695652
9,19,15,0.789473684
10,23,13,0.565217391
11,19,19,1
12,23,12,0.52173913
13,22,22,1
14,18,18,1
15,20,20,1
16,22,22,1
17,22,22,1
18,22,21,0.954545455
19,17,17,1
20,21,21,1
21,20,20,1
22,21,21,1
23,21,20,0.952380952
24,24,24,1
25,25,25,1
26,22,22,1
27,23,13,0.565217391
28,23,23,1
29,19,19,1
30,22,22,1
31,22,22,1
32,23,23,1
33,24,11,0.458333333
34,24,24,1
35,22,3,0.136363636
36,24,5,0.208333333
37,22,22,1
38,24,24,1
39,24,8,0.333333333
40,24,24,1
41,23,23,1
42,24,24,1
43,21,20,0.952380952
44,21,21,1
45,20,20,1
46,21,21,1
47,24,24,1
48,24,24,1
49,22,22,1
50,25,22,0.88
51,21,21,1
52,24,22,0.916666667
53,23,23,1
54,24,20,0.833333333
55,21,21,1
56,23,23,1
57,23,8,0.347826087
58,25,2,0.08
59,24,7,0.291666667
60,21,17,0.80952381
61,23,6,0.260869565
62,22,1,0.045454545
63,25,8,0.32
64,22,4,0.181818182
65,24,6,0.25
66,19,11,0.578947368
67,24,21,0.875
68,23,4,0.173913043
69,23,5,0.217391304
70,24,7,0.291666667
71,21,9,0.428571429
72,24,8,0.333333333
73,22,11,0.5
74,23,5,0.217391304
75,23,16,0.695652174
76,23,2,0.086956522
77,21,2,0.095238095
78,21,16,0.761904762
79,23,9,0.391304348
80,25,4,0.16
81,22,17,0.772727273
82,25,8,0.32
83,24,8,0.333333333
84,21,15,0.714285714
85,21,3,0.142857143
86,21,16,0.761904762
87,21,6,0.285714286
88,25,2,0.08
89,20,5,0.25
90,25,24,0.96
91,25,9,0.36
92,24,9,0.375
93,23,11,0.47826087
94,22,13,0.590909091
95,25,17,0.68
96,23,0,0
97,23,8,0.347826087
98,24,1,0.041666667
99,25,25,1
100,22,9,0.409090909
101,25,10,0.4
102,25,14,0.56
103,25,10,0.4
104,25,24,0.96
105,25,14,0.56
