Definition,Proportion of the population with access to improved sanitation facility,,,,,,
Denominator,All dejure population (hv012),,,,,,
Numerator,"Number of dejure population (by residence) with access to improved sanitation facility: flush to piped sewer system, spetic tank, pit latrine or unknown destination; ventilated pit latrine, pit latrine with slab, composting toilet (hv205",,,,,,
,,,,,,,
Average,0.672972006,,Weighted national average=71.6,,,,StatCompiler=66.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hv001,Relevantpop,improvedsanitation,,,,,
1,22,22,1,,,,
2,23,23,1,,,,
3,24,23,0.958333333,,,,
4,22,21,0.954545455,,,,
5,20,20,1,,,,
6,24,17,0.708333333,,,,
7,20,18,0.9,,,,
8,17,17,1,,,,
9,21,20,0.952380952,,,,
10,23,16,0.695652174,,,,
11,25,21,0.84,,,,
12,23,23,1,,,,
13,21,20,0.952380952,,,,
14,23,22,0.956521739,,,,
15,22,21,0.954545455,,,,
16,21,21,1,,,,
17,23,23,1,,,,
18,20,20,1,,,,
19,23,23,1,,,,
20,22,22,1,,,,
21,19,19,1,,,,
22,20,20,1,,,,
23,21,21,1,,,,
24,21,21,1,,,,
25,21,21,1,,,,
26,17,17,1,,,,
27,22,20,0.909090909,,,,
28,23,21,0.913043478,,,,
29,21,21,1,,,,
30,21,21,1,,,,
31,19,19,1,,,,
32,23,23,1,,,,
33,23,23,1,,,,
34,24,23,0.958333333,,,,
35,22,19,0.863636364,,,,
36,22,21,0.954545455,,,,
37,24,22,0.916666667,,,,
38,24,24,1,,,,
39,22,21,0.954545455,,,,
40,23,4,0.173913043,,,,
41,23,7,0.304347826,,,,
42,23,8,0.347826087,,,,
43,19,0,0,,,,
44,22,8,0.363636364,,,,
45,21,21,1,,,,
46,24,10,0.416666667,,,,
47,22,1,0.045454545,,,,
48,25,14,0.56,,,,
49,21,19,0.904761905,,,,
50,24,1,0.041666667,,,,
51,22,19,0.863636364,,,,
52,25,22,0.88,,,,
53,23,6,0.260869565,,,,
54,22,18,0.818181818,,,,
55,22,19,0.863636364,,,,
56,24,16,0.666666667,,,,
57,18,16,0.888888889,,,,
58,19,19,1,,,,
59,21,21,1,,,,
60,18,18,1,,,,
61,21,21,1,,,,
62,22,22,1,,,,
63,23,23,1,,,,
64,24,15,0.625,,,,
65,24,3,0.125,,,,
66,25,17,0.68,,,,
67,22,20,0.909090909,,,,
68,24,9,0.375,,,,
69,25,12,0.48,,,,
70,20,19,0.95,,,,
71,21,21,1,,,,
72,24,2,0.083333333,,,,
73,23,23,1,,,,
74,23,6,0.260869565,,,,
75,23,6,0.260869565,,,,
76,24,1,0.041666667,,,,
77,24,4,0.166666667,,,,
78,21,9,0.428571429,,,,
79,24,8,0.333333333,,,,
80,22,21,0.954545455,,,,
81,20,19,0.95,,,,
82,23,5,0.217391304,,,,
83,22,13,0.590909091,,,,
84,23,11,0.47826087,,,,
85,25,25,1,,,,
86,24,24,1,,,,
87,21,19,0.904761905,,,,
88,24,24,1,,,,
89,24,15,0.625,,,,
90,22,22,1,,,,
91,23,17,0.739130435,,,,
92,23,23,1,,,,
93,22,22,1,,,,
94,16,16,1,,,,
95,20,17,0.85,,,,
96,20,19,0.95,,,,
97,22,6,0.272727273,,,,
98,24,8,0.333333333,,,,
99,22,9,0.409090909,,,,
100,24,24,1,,,,
101,24,24,1,,,,
102,23,23,1,,,,
103,21,21,1,,,,
104,24,12,0.5,,,,
105,21,21,1,,,,
106,24,24,1,,,,
107,25,24,0.96,,,,
108,21,21,1,,,,
109,23,12,0.52173913,,,,
110,24,6,0.25,,,,
111,23,21,0.913043478,,,,
112,25,5,0.2,,,,
113,24,0,0,,,,
114,24,2,0.083333333,,,,
115,23,1,0.043478261,,,,
116,24,6,0.25,,,,
117,25,8,0.32,,,,
118,25,1,0.04,,,,
119,24,18,0.75,,,,
120,25,3,0.12,,,,
121,25,0,0,,,,
122,24,2,0.083333333,,,,
123,24,19,0.791666667,,,,
124,24,6,0.25,,,,
125,25,0,0,,,,
126,23,23,1,,,,
127,22,20,0.909090909,,,,
128,22,20,0.909090909,,,,
129,24,24,1,,,,
130,24,20,0.833333333,,,,
131,23,22,0.956521739,,,,
132,18,4,0.222222222,,,,
133,21,1,0.047619048,,,,
134,22,18,0.818181818,,,,
135,25,5,0.2,,,,
136,23,0,0,,,,
137,25,12,0.48,,,,
138,23,9,0.391304348,,,,
139,22,5,0.227272727,,,,
140,21,20,0.952380952,,,,
141,23,11,0.47826087,,,,
142,24,16,0.666666667,,,,
143,23,3,0.130434783,,,,
144,23,16,0.695652174,,,,
145,22,19,0.863636364,,,,
146,24,18,0.75,,,,
147,24,19,0.791666667,,,,
148,20,20,1,,,,
149,22,19,0.863636364,,,,
150,20,20,1,,,,
151,22,21,0.954545455,,,,
152,22,20,0.909090909,,,,
153,16,15,0.9375,,,,
154,22,21,0.954545455,,,,
155,19,19,1,,,,
156,22,7,0.318181818,,,,
157,22,22,1,,,,
158,19,4,0.210526316,,,,
159,20,9,0.45,,,,
160,23,22,0.956521739,,,,
161,22,11,0.5,,,,
162,24,0,0,,,,
163,23,5,0.217391304,,,,
