hv001,Relevantpop,improvedwater,
1,22,22,1
2,23,18,0.782608696
3,24,21,0.875
4,22,18,0.818181818
5,20,12,0.6
6,24,15,0.625
7,20,10,0.5
8,17,17,1
9,21,20,0.952380952
10,23,11,0.47826087
11,25,22,0.88
12,23,6,0.260869565
13,21,9,0.428571429
14,23,21,0.913043478
15,22,16,0.727272727
16,21,19,0.904761905
17,23,18,0.782608696
18,20,15,0.75
19,23,4,0.173913043
20,22,19,0.863636364
21,19,14,0.736842105
22,20,11,0.55
23,21,8,0.380952381
24,21,13,0.619047619
25,21,5,0.238095238
26,17,11,0.647058824
27,22,10,0.454545455
28,23,22,0.956521739
29,21,14,0.666666667
30,21,14,0.666666667
31,19,11,0.578947368
32,23,12,0.52173913
33,23,2,0.086956522
34,24,5,0.208333333
35,22,19,0.863636364
36,22,9,0.409090909
37,24,6,0.25
38,24,9,0.375
39,22,6,0.272727273
40,23,7,0.304347826
41,23,7,0.304347826
42,23,20,0.869565217
43,19,1,0.052631579
44,22,19,0.863636364
45,21,19,0.904761905
46,24,7,0.291666667
47,22,0,0
48,25,19,0.76
49,21,21,1
50,24,0,0
51,22,22,1
52,25,25,1
53,23,8,0.347826087
54,22,22,1
55,22,22,1
56,24,24,1
57,18,18,1
58,19,19,1
59,21,21,1
60,18,18,1
61,21,21,1
62,22,22,1
63,23,23,1
64,24,24,1
65,24,13,0.541666667
66,25,25,1
67,22,22,1
68,24,5,0.208333333
69,25,2,0.08
70,20,20,1
71,21,20,0.952380952
72,24,3,0.125
73,23,23,1
74,23,23,1
75,23,17,0.739130435
76,24,1,0.041666667
77,24,8,0.333333333
78,21,3,0.142857143
79,24,11,0.458333333
80,22,22,1
81,20,20,1
82,23,14,0.608695652
83,22,22,1
84,23,23,1
85,25,25,1
86,24,24,1
87,21,21,1
88,24,24,1
89,24,24,1
90,22,22,1
91,23,23,1
92,23,23,1
93,22,22,1
94,16,16,1
95,20,20,1
96,20,19,0.95
97,22,2,0.090909091
98,24,15,0.625
99,22,22,1
