hv001,nonflaggedchildren,wasted,
1,10,1,0.1
2,9,1,0.111111111
3,7,1,0.142857143
4,2,0,0
5,3,0,0
6,9,0,0
7,4,0,0
8,11,0,0
9,5,0,0
10,9,0,0
11,11,0,0
12,6,0,0
13,7,0,0
14,3,0,0
15,4,0,0
16,3,1,0.333333333
17,7,1,0.142857143
18,18,0,0
19,3,0,0
20,9,0,0
21,8,0,0
22,12,0,0
23,9,0,0
24,10,0,0
25,11,1,0.090909091
26,6,0,0
27,17,1,0.058823529
28,9,0,0
29,10,0,0
30,10,0,0
31,3,0,0
32,8,0,0
33,6,0,0
34,3,0,0
35,2,0,0
36,10,0,0
37,8,0,0
38,7,0,0
39,4,0,0
40,15,0,0
41,14,0,0
42,9,0,0
43,7,0,0
44,9,1,0.111111111
45,7,0,0
46,12,0,0
47,6,0,0
48,11,1,0.090909091
49,4,0,0
50,11,0,0
51,9,0,0
52,21,0,0
53,8,1,0.125
54,4,0,0
55,6,1,0.166666667
56,4,0,0
57,5,0,0
58,5,0,0
59,8,2,0.25
60,5,0,0
61,9,0,0
62,7,0,0
63,13,0,0
64,11,1,0.090909091
65,14,1,0.071428571
66,12,2,0.166666667
67,9,0,0
68,7,0,0
69,15,0,0
70,5,0,0
71,12,1,0.083333333
72,10,0,0
73,11,0,0
74,5,0,0
75,12,0,0
76,12,0,0
77,19,0,0
78,8,0,0
79,6,0,0
80,11,0,0
81,7,0,0
82,8,0,0
83,7,0,0
84,8,1,0.125
85,3,0,0
86,10,0,0
87,11,0,0
88,16,0,0
89,7,0,0
90,11,0,0
91,7,0,0
92,8,0,0
93,8,1,0.125
94,5,0,0
95,15,0,0
96,11,0,0
97,14,0,0
98,12,0,0
99,12,0,0
100,4,0,0
101,6,0,0
102,9,1,0.111111111
103,2,0,0
104,8,1,0.125
105,5,0,0
106,5,0,0
107,8,0,0
108,9,0,0
109,8,0,0
110,7,0,0
111,9,0,0
112,9,0,0
113,8,1,0.125
114,9,0,0
115,9,0,0
116,12,0,0
117,9,0,0
118,17,0,0
119,3,0,0
120,4,0,0
121,6,0,0
122,10,0,0
123,12,0,0
124,4,0,0
125,8,0,0
126,11,0,0
127,6,0,0
128,7,0,0
129,9,0,0
130,2,0,0
131,4,0,0
132,4,1,0.25
133,10,1,0.1
134,2,0,0
135,10,0,0
136,8,0,0
137,8,1,0.125
138,4,0,0
139,8,0,0
140,4,0,0
141,8,0,0
142,6,0,0
143,4,0,0
144,5,0,0
145,7,1,0.142857143
146,5,0,0
147,6,1,0.166666667
148,6,0,0
149,8,1,0.125
150,10,1,0.1
151,5,1,0.2
152,6,0,0
153,6,0,0
154,10,0,0
155,5,0,0
156,10,0,0
157,8,0,0
158,6,0,0
159,5,0,0
160,6,0,0
161,5,0,0
162,6,0,0
163,7,0,0
164,6,0,0
165,7,0,0
166,6,0,0
167,10,0,0
168,6,0,0
169,8,1,0.125
170,2,0,0
171,7,0,0
172,12,0,0
173,11,0,0
174,11,0,0
175,6,0,0
176,12,0,0
177,2,0,0
178,4,0,0
179,12,0,0
180,8,0,0
181,8,1,0.125
182,16,0,0
183,4,0,0
184,6,0,0
185,8,0,0
186,18,0,0
187,14,0,0
188,11,2,0.181818182
189,7,0,0
190,7,0,0
191,8,0,0
192,6,0,0
193,7,0,0
194,8,0,0
195,6,0,0
196,3,0,0
197,11,0,0
198,8,0,0
199,13,0,0
200,12,0,0
201,8,0,0
202,6,0,0
203,13,1,0.076923077
204,6,0,0
205,5,0,0
206,11,0,0
207,5,0,0
208,7,0,0
209,6,0,0
210,10,1,0.1
211,9,0,0
212,5,0,0
213,8,0,0
214,9,1,0.111111111
215,12,0,0
216,4,0,0
217,6,1,0.166666667
218,2,0,0
219,2,0,0
220,9,1,0.111111111
221,11,0,0
222,10,1,0.1
223,2,0,0
224,16,0,0
225,7,0,0
226,6,0,0
227,7,0,0
228,7,0,0
229,5,0,0
230,10,0,0
231,9,1,0.111111111
232,2,0,0
233,11,1,0.090909091
234,10,0,0
235,12,0,0
236,7,0,0
237,15,0,0
238,4,0,0
239,6,0,0
240,7,1,0.142857143
241,5,0,0
242,9,0,0
243,8,1,0.125
244,8,0,0
245,13,0,0
246,5,0,0
247,8,0,0
248,17,1,0.058823529
249,5,1,0.2
250,2,0,0
251,7,1,0.142857143
252,8,1,0.125
253,4,0,0
254,6,0,0
255,8,0,0
256,11,0,0
257,7,0,0
258,6,0,0
259,6,2,0.333333333
260,13,0,0
261,12,0,0
262,3,0,0
263,7,0,0
264,11,2,0.181818182
265,7,0,0
266,7,0,0
267,5,1,0.2
268,6,0,0
269,17,3,0.176470588
270,17,0,0
271,17,2,0.117647059
272,9,0,0
273,5,1,0.2
274,22,0,0
275,15,1,0.066666667
276,17,1,0.058823529
277,25,1,0.04
278,16,0,0
279,14,1,0.071428571
280,25,1,0.04
281,34,2,0.058823529
282,11,1,0.090909091
283,14,0,0
284,9,0,0
285,9,1,0.111111111
286,6,0,0
287,5,1,0.2
288,7,1,0.142857143
289,4,0,0
290,2,0,0
291,2,0,0
292,12,0,0
293,24,0,0
294,11,0,0
295,8,0,0
296,21,1,0.047619048
297,24,0,0
298,4,0,0
299,18,1,0.055555556
300,18,0,0
301,16,3,0.1875
302,14,0,0
303,9,0,0
304,6,0,0
305,5,0,0
306,7,1,0.142857143
307,4,1,0.25
308,28,0,0
309,4,0,0
310,18,0,0
311,22,0,0
312,33,2,0.060606061
313,30,1,0.033333333
314,13,1,0.076923077
315,12,0,0
316,16,0,0
317,21,0,0
318,18,0,0
319,6,0,0
320,3,1,0.333333333
321,17,1,0.058823529
322,26,1,0.038461538
323,10,1,0.1
324,9,1,0.111111111
325,9,0,0
326,6,0,0
327,10,0,0
328,22,1,0.045454545
329,18,0,0
330,26,0,0
331,36,2,0.055555556
332,29,1,0.034482759
333,21,1,0.047619048
334,35,3,0.085714286
335,11,1,0.090909091
336,24,2,0.083333333
338,13,1,0.076923077
339,14,2,0.142857143
340,25,4,0.16
341,20,0,0
342,19,0,0
343,22,1,0.045454545
344,36,2,0.055555556
345,11,1,0.090909091
346,30,3,0.1
347,23,2,0.086956522
348,9,0,0
349,13,0,0
350,12,1,0.083333333
351,5,0,0
352,11,0,0
353,26,4,0.153846154
354,28,0,0
355,22,1,0.045454545
356,19,2,0.105263158
357,17,0,0
358,24,0,0
359,19,0,0
360,29,4,0.137931034
361,22,0,0
362,34,0,0
363,17,0,0
364,32,1,0.03125
365,17,1,0.058823529
366,12,0,0
367,19,0,0
368,5,0,0
369,13,1,0.076923077
370,9,0,0
371,13,0,0
372,9,1,0.111111111
373,9,1,0.111111111
374,8,1,0.125
375,15,1,0.066666667
376,7,0,0
377,6,0,0
378,7,0,0
379,3,0,0
380,5,0,0
381,12,0,0
382,5,0,0
383,13,0,0
384,7,1,0.142857143
385,7,1,0.142857143
386,9,0,0
387,7,0,0
388,10,1,0.1
389,10,0,0
390,7,0,0
391,16,0,0
392,8,0,0
393,21,0,0
394,27,4,0.148148148
395,16,0,0
396,13,0,0
397,20,0,0
398,11,4,0.363636364
399,9,3,0.333333333
400,5,1,0.2
401,4,0,0
402,6,1,0.166666667
403,6,1,0.166666667
404,8,1,0.125
405,2,0,0
406,13,0,0
407,13,0,0
408,12,0,0
409,11,0,0
410,6,0,0
411,18,0,0
412,14,0,0
413,11,0,0
414,7,1,0.142857143
415,12,2,0.166666667
416,12,0,0
417,3,2,0.666666667
418,10,2,0.2
419,12,1,0.083333333
420,14,0,0
421,6,0,0
422,6,1,0.166666667
423,0,0,.
424,7,0,0
425,8,0,0
426,4,0,0
427,12,1,0.083333333
428,13,0,0
