hv001,nonflaggedchildren,severelywasted,
1,8,0,0
2,4,0,0
3,5,0,0
4,7,0,0
5,13,0,0
6,13,3,0.230769231
7,4,0,0
8,6,0,0
9,6,0,0
10,5,0,0
11,12,1,0.083333333
12,16,0,0
13,12,0,0
14,9,1,0.111111111
15,11,0,0
16,11,0,0
17,7,0,0
18,7,0,0
19,12,0,0
20,6,1,0.166666667
21,7,0,0
22,8,0,0
23,8,1,0.125
24,8,1,0.125
25,8,0,0
26,3,0,0
27,12,1,0.083333333
28,20,1,0.05
29,8,0,0
30,7,0,0
31,3,0,0
32,7,2,0.285714286
33,11,0,0
34,3,1,0.333333333
35,5,0,0
36,15,1,0.066666667
37,7,0,0
38,13,1,0.076923077
39,5,0,0
40,10,0,0
41,20,2,0.1
42,15,1,0.066666667
43,27,2,0.074074074
44,22,4,0.181818182
45,8,0,0
46,18,0,0
47,24,3,0.125
48,23,0,0
49,4,0,0
50,27,2,0.074074074
51,9,0,0
52,14,1,0.071428571
53,17,0,0
54,14,2,0.142857143
55,10,0,0
56,10,2,0.2
57,1,0,0
58,7,0,0
59,7,0,0
60,6,1,0.166666667
61,6,0,0
62,10,1,0.1
63,5,1,0.2
64,8,0,0
65,15,2,0.133333333
66,8,0,0
67,9,0,0
68,16,1,0.0625
69,22,1,0.045454545
70,13,1,0.076923077
71,10,2,0.2
72,23,0,0
73,8,0,0
74,15,1,0.066666667
75,15,1,0.066666667
76,21,0,0
77,15,1,0.066666667
78,12,1,0.083333333
79,15,2,0.133333333
80,6,1,0.166666667
81,5,1,0.2
82,16,1,0.0625
83,9,0,0
84,12,3,0.25
85,10,1,0.1
86,3,0,0
87,6,0,0
88,9,0,0
89,18,3,0.166666667
90,4,0,0
91,14,0,0
92,11,1,0.090909091
93,6,2,0.333333333
94,4,0,0
95,3,0,0
96,10,0,0
97,27,3,0.111111111
98,29,3,0.103448276
99,20,1,0.05
100,11,0,0
101,11,1,0.090909091
102,6,2,0.333333333
103,6,0,0
104,14,0,0
105,7,0,0
106,4,0,0
107,7,0,0
108,1,0,0
109,16,0,0
110,10,1,0.1
111,13,1,0.076923077
112,22,1,0.045454545
113,23,5,0.217391304
114,14,0,0
115,22,2,0.090909091
116,18,2,0.111111111
117,19,2,0.105263158
118,20,1,0.05
119,14,1,0.071428571
120,17,2,0.117647059
121,24,4,0.166666667
122,25,3,0.12
123,22,4,0.181818182
124,23,4,0.173913043
125,29,5,0.172413793
126,12,0,0
127,23,3,0.130434783
128,11,1,0.090909091
129,15,0,0
130,8,1,0.125
131,19,6,0.315789474
132,21,2,0.095238095
133,16,0,0
134,22,4,0.181818182
135,30,6,0.2
136,34,4,0.117647059
137,20,5,0.25
138,14,0,0
139,17,1,0.058823529
140,5,2,0.4
141,16,2,0.125
142,6,0,0
143,26,3,0.115384615
144,16,1,0.0625
145,15,0,0
146,13,0,0
147,23,0,0
148,14,0,0
149,19,2,0.105263158
150,9,0,0
151,15,0,0
152,12,1,0.083333333
153,6,0,0
154,12,1,0.083333333
155,7,0,0
156,6,0,0
157,12,0,0
158,9,0,0
159,11,0,0
160,13,1,0.076923077
161,14,1,0.071428571
162,27,1,0.037037037
163,9,1,0.111111111
164,8,0,0
165,22,1,0.045454545
166,9,1,0.111111111
167,13,0,0
168,7,0,0
169,11,0,0
170,1,0,0
171,16,1,0.0625
172,15,0,0
173,14,2,0.142857143
174,11,1,0.090909091
175,27,0,0
176,10,1,0.1
177,7,2,0.285714286
178,9,1,0.111111111
179,9,0,0
180,13,0,0
181,9,0,0
182,9,2,0.222222222
183,11,1,0.090909091
184,3,0,0
185,13,0,0
186,11,0,0
